f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
q,z,y,l,a,&,s,z,y,g,a,#,s,z,y,g,a,$,COPY	q,z,y,l,a
q,z,y,l,a,&,q,z,n,l,a,#,n,g,i,y,a,q,z,n,l,a,$,V,SG,1,PRS	n,g,i,y,a,q,z,y,l,a
l,a,e,a,&,l,b,e,d,#,l,b,e,d,$,COPY	l,a,e,a
l,a,e,a,&,l,a,e,g,#,n,g,i,z,o,l,a,e,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,a,e,a
l,a,n,a,&,l,m,n,k,#,l,m,n,k,$,COPY	l,a,n,a
l,a,n,a,&,p,a,g,a,#,n,g,i,y,o,p,a,g,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,n,a
a,n,f,s,&,a,n,f,f,#,a,n,f,f,$,COPY	a,n,f,s
a,n,f,s,&,a,n,f,f,#,n,g,a,a,n,f,f,$,V,SG,1,PST+RMT	n,g,a,a,n,f,s
l,a,l,a,&,l,j,l,a,#,n,g,i,y,a,l,j,l,a,$,V,SG,1,PRS	n,g,i,y,a,l,a,l,a
m,a,l,a,&,m,o,l,a,#,m,o,l,a,$,COPY	m,a,l,a
m,a,l,a,&,c,a,l,a,#,n,g,i,c,a,l,e,$,V,SG,1,PST+RCT	n,g,i,m,a,l,e
g,i,e,i,m,a,&,g,k,e,i,m,a,#,g,k,e,i,m,a,$,COPY	g,i,e,i,m,a
g,i,e,i,m,a,&,g,k,e,m,m,a,#,n,g,i,g,k,e,m,m,e,$,V,SG,1,PST+RCT	n,g,i,g,i,e,i,m,e
g,m,i,a,b,a,&,g,m,n,z,b,a,#,g,m,n,z,b,a,$,COPY	g,m,i,a,b,a
g,m,i,a,b,a,&,g,j,i,a,b,a,#,n,g,i,y,a,g,j,i,a,b,a,$,V,SG,1,PRS	n,g,i,y,a,g,m,i,a,b,a
g,y,f,z,m,a,&,g,v,f,z,m,a,#,g,v,f,z,m,a,$,COPY	g,y,f,z,m,a
g,y,f,z,m,a,&,g,v,f,z,m,a,#,n,g,i,z,o,g,v,f,z,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,g,y,f,z,m,a
g,t,z,i,y,k,&,g,d,z,b,y,k,#,g,d,z,b,y,k,$,COPY	g,t,z,i,y,k
g,t,z,i,y,k,&,g,t,z,i,y,q,#,n,g,a,g,t,z,i,y,q,$,V,SG,1,PST+RMT	n,g,a,g,t,z,i,y,k
g,z,j,i,m,a,&,g,w,j,i,m,a,#,n,g,i,y,o,g,w,j,i,m,a,$,V,SG,1,FUT	n,g,i,y,o,g,z,j,i,m,a
b,h,j,a,b,&,e,h,j,a,b,#,e,h,j,a,b,$,COPY	b,h,j,a,b
b,h,j,a,b,&,b,s,j,a,s,#,n,g,i,z,o,b,s,j,a,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,h,j,a,b
w,h,a,j,a,&,s,h,a,j,b,#,s,h,a,j,b,$,COPY	w,h,a,j,a
w,h,a,j,a,&,w,h,f,j,a,#,n,g,i,w,h,f,j,e,$,V,SG,1,PST+RCT	n,g,i,w,h,a,j,e
b,z,a,l,a,&,b,z,a,g,a,#,b,z,a,g,a,$,COPY	b,z,a,l,a
b,z,a,l,a,&,n,z,a,c,a,#,n,g,i,n,z,a,c,a,$,V,SG,1,PRS	n,g,i,b,z,a,l,a
b,h,q,s,a,&,b,h,b,b,a,#,b,h,b,b,a,$,COPY	b,h,q,s,a
b,h,q,s,a,&,b,t,q,s,a,#,n,g,a,b,t,q,s,a,$,V,SG,1,PST+RMT	n,g,a,b,h,q,s,a
b,h,a,l,j,&,a,u,a,l,j,#,a,u,a,l,j,$,COPY	b,h,a,l,j
b,h,a,l,j,&,j,h,a,e,j,#,n,g,i,y,o,j,h,a,e,j,$,V,SG,1,FUT	n,g,i,y,o,b,h,a,l,j
u,n,a,&,u,n,o,#,u,n,o,$,COPY	u,n,a
u,n,a,&,n,n,a,#,n,g,i,y,o,k,u,n,n,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,u,n,a
d,c,a,&,d,t,a,#,d,t,a,$,COPY	d,c,a
d,c,a,&,d,c,c,#,n,g,i,z,o,k,u,d,c,c,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,d,c,a
m,l,c,&,m,l,e,#,n,g,i,m,l,e,$,V,SG,1,PRS	n,g,i,m,l,c
d,b,d,&,k,b,d,#,k,b,d,$,COPY	d,b,d
d,b,d,&,t,f,d,#,n,g,a,t,f,d,$,V,SG,1,PST+RMT	n,g,a,d,b,d
p,p,e,u,u,m,u,u,a,&,p,p,e,w,u,m,u,u,a,#,p,p,e,w,u,m,u,u,a,$,COPY	p,p,e,u,u,m,u,u,a
p,p,e,u,u,m,u,u,a,&,p,d,e,u,u,m,u,u,a,#,n,g,i,z,o,p,d,e,u,u,m,u,u,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,p,e,u,u,m,u,u,a
p,h,z,f,u,n,v,z,a,&,p,h,n,f,u,i,k,z,a,#,p,h,n,f,u,i,k,z,a,$,COPY	p,h,z,f,u,n,v,z,a
p,h,z,f,u,n,v,z,a,&,p,h,z,f,g,n,v,z,a,#,n,g,i,y,a,p,h,z,f,g,n,v,z,a,$,V,SG,1,PRS	n,g,i,y,a,p,h,z,f,u,n,v,z,a
p,h,e,b,p,e,u,l,a,&,p,l,e,b,t,e,c,l,a,#,p,l,e,b,t,e,c,l,a,$,COPY	p,h,e,b,p,e,u,l,a
p,h,e,b,p,e,u,l,a,&,p,h,e,b,p,n,u,l,a,#,n,g,i,p,h,e,b,p,n,u,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,e,b,p,e,u,l,e
p,h,e,f,u,i,g,g,a,&,p,h,e,f,l,i,g,g,a,#,p,h,e,f,l,i,g,g,a,$,COPY	p,h,e,f,u,i,g,g,a
p,h,e,f,u,i,g,g,a,&,p,s,e,f,u,p,g,g,a,#,n,g,a,p,s,e,f,u,p,g,g,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,f,u,i,g,g,a
p,d,d,g,n,j,o,l,a,&,p,d,d,g,k,j,o,d,a,#,p,d,d,g,k,j,o,d,a,$,COPY	p,d,d,g,n,j,o,l,a
p,d,d,g,n,j,o,l,a,&,p,d,m,z,n,t,o,l,a,#,n,g,i,y,o,p,d,m,z,n,t,o,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,d,d,g,n,j,o,l,a
i,a,l,u,a,&,i,z,l,u,a,#,i,z,l,u,a,$,COPY	i,a,l,u,a
i,a,l,u,a,&,i,y,l,n,e,#,n,g,a,i,y,l,n,e,$,V,SG,1,PST+RMT	n,g,a,i,a,l,u,a
a,h,u,a,p,&,a,h,t,o,p,#,a,h,t,o,p,$,COPY	a,h,u,a,p
a,h,u,a,p,&,a,f,u,a,n,#,n,g,i,a,f,u,a,n,$,V,SG,1,PRS	n,g,i,a,h,u,a,p
z,n,s,z,a,&,z,a,k,z,a,#,z,a,k,z,a,$,COPY	z,n,s,z,a
z,n,s,z,a,&,f,v,p,z,n,#,n,g,i,z,o,f,v,p,z,n,$,V,SG,1,FUT+IMMED	n,g,i,z,o,z,n,s,z,a
p,h,w,z,c,&,p,h,w,z,d,#,p,h,w,z,d,$,COPY	p,h,w,z,c
p,h,w,z,c,&,p,h,w,t,c,#,n,g,i,y,o,p,h,w,t,c,$,V,SG,1,FUT	n,g,i,y,o,p,h,w,z,c
n,o,u,z,a,&,n,o,u,z,e,#,n,o,u,z,e,$,COPY	n,o,u,z,a
n,o,u,z,a,&,n,w,u,z,a,#,n,g,i,n,w,u,z,e,$,V,SG,1,PST+RCT	n,g,i,n,o,u,z,e
t,h,p,e,l,a,&,t,t,p,e,l,a,#,t,t,p,e,l,a,$,COPY	t,h,p,e,l,a
t,h,p,e,l,a,&,t,k,p,e,l,a,#,n,g,i,t,k,p,e,l,e,$,V,SG,1,PST+RCT	n,g,i,t,h,p,e,l,e
t,h,j,n,t,a,&,t,z,q,n,t,a,#,t,z,q,n,t,a,$,COPY	t,h,j,n,t,a
t,h,j,n,t,a,&,t,h,p,n,t,a,#,n,g,i,z,o,t,h,p,n,t,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,j,n,t,a
t,b,d,n,w,a,&,t,b,d,n,v,a,#,t,b,d,n,v,a,$,COPY	t,b,d,n,w,a
t,b,d,n,w,a,&,t,s,d,n,w,a,#,n,g,i,y,o,t,s,d,n,w,a,$,V,SG,1,FUT	n,g,i,y,o,t,b,d,n,w,a
t,k,m,j,t,a,&,t,k,n,j,t,a,#,t,k,n,j,t,a,$,COPY	t,k,m,j,t,a
t,k,m,j,t,a,&,t,k,m,j,y,a,#,n,g,a,t,k,m,j,y,a,$,V,SG,1,PST+RMT	n,g,a,t,k,m,j,t,a
t,g,s,n,s,a,&,t,f,s,w,s,a,#,t,f,s,w,s,a,$,COPY	t,g,s,n,s,a
t,g,s,n,s,a,&,t,g,s,y,s,a,#,n,g,i,t,g,s,y,s,a,$,V,SG,1,PRS	n,g,i,t,g,s,n,s,a
l,a,j,k,c,k,e,l,w,a,&,l,a,l,k,c,k,e,l,w,a,#,l,a,l,k,c,k,e,l,w,a,$,COPY	l,a,j,k,c,k,e,l,w,a
l,a,j,k,c,k,e,l,w,a,&,l,a,j,k,c,k,h,l,w,a,#,n,g,i,l,a,j,k,c,k,h,l,w,e,$,V,SG,1,PST+RCT	n,g,i,l,a,j,k,c,k,e,l,w,e
l,a,h,q,y,k,p,l,w,a,&,l,a,h,b,y,k,p,l,w,a,#,l,a,h,b,y,k,p,l,w,a,$,COPY	l,a,h,q,y,k,p,l,w,a
l,a,h,q,y,k,p,l,w,a,&,l,h,h,q,t,k,p,l,w,a,#,n,g,i,l,h,h,q,t,k,p,l,w,a,$,V,SG,1,PRS	n,g,i,l,a,h,q,y,k,p,l,w,a
l,f,h,z,o,w,e,g,n,a,&,l,f,h,z,o,w,w,g,n,a,#,l,f,h,z,o,w,w,g,n,a,$,COPY	l,f,h,z,o,w,e,g,n,a
l,f,h,z,o,w,e,g,n,a,&,l,f,h,m,k,n,e,g,n,a,#,n,g,i,z,o,l,f,h,m,k,n,e,g,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,f,h,z,o,w,e,g,n,a
l,a,d,l,e,k,l,l,w,a,&,l,a,d,l,d,k,l,l,d,a,#,l,a,d,l,d,k,l,l,d,a,$,COPY	l,a,d,l,e,k,l,l,w,a
l,a,d,l,e,k,l,l,w,a,&,l,a,d,l,e,z,l,l,w,a,#,n,g,i,y,o,l,a,d,l,e,z,l,l,w,a,$,V,SG,1,FUT	n,g,i,y,o,l,a,d,l,e,k,l,l,w,a
l,i,i,l,t,s,c,l,w,a,&,l,i,i,e,t,s,e,l,f,a,#,l,i,i,e,t,s,e,l,f,a,$,COPY	l,i,i,l,t,s,c,l,w,a
l,i,i,l,t,s,c,l,w,a,&,l,i,i,l,l,s,u,l,w,a,#,n,g,a,l,i,i,l,l,s,u,l,w,a,$,V,SG,1,PST+RMT	n,g,a,l,i,i,l,t,s,c,l,w,a
s,l,a,&,z,l,a,#,z,l,a,$,COPY	s,l,a
s,l,a,&,s,l,m,#,n,g,i,s,l,m,$,V,SG,1,PRS	n,g,i,s,l,a
e,w,a,&,e,a,a,#,e,a,a,$,COPY	e,w,a
e,w,a,&,g,w,a,#,n,g,a,g,w,a,$,V,SG,1,PST+RMT	n,g,a,e,w,a
l,t,a,&,l,t,b,#,l,t,b,$,COPY	l,t,a
l,t,a,&,f,t,a,#,n,g,i,y,o,k,u,f,t,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,l,t,a
y,k,s,&,y,a,s,#,y,a,s,$,COPY	y,k,s
y,k,s,&,y,k,g,#,n,g,i,z,o,k,u,y,k,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,y,k,s
s,h,k,h,y,a,&,s,h,y,h,y,a,#,s,h,y,h,y,a,$,COPY	s,h,k,h,y,a
s,h,k,h,y,a,&,s,h,k,k,y,a,#,n,g,i,s,h,k,k,y,a,$,V,SG,1,PRS	n,g,i,s,h,k,h,y,a
s,u,k,k,m,a,&,s,u,k,q,m,a,#,s,u,k,q,m,a,$,COPY	s,u,k,k,m,a
s,u,k,k,m,a,&,s,u,k,k,p,a,#,n,g,a,s,u,k,k,p,a,$,V,SG,1,PST+RMT	n,g,a,s,u,k,k,m,a
s,c,k,u,h,a,&,s,i,k,c,q,a,#,s,i,k,c,q,a,$,COPY	s,c,k,u,h,a
s,c,k,u,h,a,&,p,c,k,u,h,a,#,n,g,i,p,c,k,u,h,e,$,V,SG,1,PST+RCT	n,g,i,s,c,k,u,h,e
s,u,k,u,j,a,&,s,u,k,j,j,a,#,s,u,k,j,j,a,$,COPY	s,u,k,u,j,a
s,u,k,u,j,a,&,s,s,k,u,j,a,#,n,g,i,z,o,s,s,k,u,j,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,u,k,u,j,a
s,u,k,e,f,a,&,s,u,o,e,f,a,#,s,u,o,e,f,a,$,COPY	s,u,k,e,f,a
s,u,k,e,f,a,&,s,u,b,e,f,a,#,n,g,i,y,o,s,u,b,e,f,a,$,V,SG,1,FUT	n,g,i,y,o,s,u,k,e,f,a
p,z,e,n,z,a,l,a,&,p,u,e,n,z,d,l,a,#,p,u,e,n,z,d,l,a,$,COPY	p,z,e,n,z,a,l,a
p,z,e,n,z,a,l,a,&,p,z,k,n,z,a,l,a,#,n,g,i,p,z,k,n,z,a,l,a,$,V,SG,1,PRS	n,g,i,p,z,e,n,z,a,l,a
p,l,e,n,d,u,l,a,&,p,l,f,n,d,u,l,a,#,p,l,f,n,d,u,l,a,$,COPY	p,l,e,n,d,u,l,a
p,l,e,n,d,u,l,a,&,p,e,e,n,l,u,l,a,#,n,g,i,p,e,e,n,l,u,l,e,$,V,SG,1,PST+RCT	n,g,i,p,l,e,n,d,u,l,e
p,h,w,u,d,u,l,a,&,p,h,k,u,m,u,l,a,#,p,h,k,u,m,u,l,a,$,COPY	p,h,w,u,d,u,l,a
p,h,w,u,d,u,l,a,&,p,h,j,u,d,u,t,a,#,n,g,i,y,o,p,h,j,u,d,u,t,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,w,u,d,u,l,a
p,h,a,y,d,u,l,a,&,p,h,n,y,d,u,l,a,#,p,h,n,y,d,u,l,a,$,COPY	p,h,a,y,d,u,l,a
p,h,a,y,d,u,l,a,&,p,e,a,y,d,f,l,a,#,n,g,i,z,o,p,e,a,y,d,f,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,a,y,d,u,l,a
p,h,u,k,h,u,l,a,&,p,c,u,k,z,u,l,a,#,p,c,u,k,z,u,l,a,$,COPY	p,h,u,k,h,u,l,a
p,h,u,k,h,u,l,a,&,p,h,u,k,u,u,l,a,#,n,g,a,p,h,u,k,u,u,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,u,k,h,u,l,a
q,k,n,t,n,&,o,k,n,u,n,#,o,k,n,u,n,$,COPY	q,k,n,t,n
q,k,n,t,n,&,n,k,n,c,u,#,n,g,i,y,o,n,k,n,c,u,$,V,SG,1,FUT	n,g,i,y,o,q,k,n,t,n
t,l,u,d,a,&,t,p,o,d,a,#,t,p,o,d,a,$,COPY	t,l,u,d,a
t,l,u,d,a,&,t,m,c,d,a,#,n,g,i,t,m,c,d,e,$,V,SG,1,PST+RCT	n,g,i,t,l,u,d,e
s,n,g,d,o,&,s,n,h,d,o,#,s,n,h,d,o,$,COPY	s,n,g,d,o
s,n,g,d,o,&,d,b,g,d,t,#,n,g,i,y,a,d,b,g,d,t,$,V,SG,1,PRS	n,g,i,y,a,s,n,g,d,o
q,o,o,d,a,&,p,o,o,d,a,#,p,o,o,d,a,$,COPY	q,o,o,d,a
q,o,o,d,a,&,u,o,o,n,a,#,n,g,i,z,o,u,o,o,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,o,o,d,a
d,o,m,y,a,&,v,o,e,y,a,#,v,o,e,y,a,$,COPY	d,o,m,y,a
d,o,m,y,a,&,d,o,m,e,a,#,n,g,a,d,o,m,e,a,$,V,SG,1,PST+RMT	n,g,a,d,o,m,y,a
b,o,n,a,k,a,w,a,&,b,q,n,f,z,v,w,a,#,b,q,n,f,z,v,w,a,$,COPY	b,o,n,a,k,a,w,a
b,o,n,a,k,a,w,a,&,b,o,z,d,k,a,w,a,#,n,g,a,b,o,z,d,k,a,w,a,$,V,SG,1,PST+RMT	n,g,a,b,o,n,a,k,a,w,a
b,w,b,a,s,k,l,a,&,b,w,k,a,s,k,l,a,#,b,w,k,a,s,k,l,a,$,COPY	b,w,b,a,s,k,l,a
b,w,b,a,s,k,l,a,&,b,w,b,y,s,k,l,a,#,n,g,i,y,o,b,w,b,y,s,k,l,a,$,V,SG,1,FUT	n,g,i,y,o,b,w,b,a,s,k,l,a
b,v,f,a,k,a,l,a,&,b,s,f,a,k,a,b,a,#,b,s,f,a,k,a,b,a,$,COPY	b,v,f,a,k,a,l,a
b,v,f,a,k,a,l,a,&,b,e,f,a,k,a,l,a,#,n,g,i,b,e,f,a,k,a,l,a,$,V,SG,1,PRS	n,g,i,b,v,f,a,k,a,l,a
b,y,w,t,c,a,i,a,&,b,n,w,t,c,a,i,a,#,b,n,w,t,c,a,i,a,$,COPY	b,y,w,t,c,a,i,a
b,y,w,t,c,a,i,a,&,b,n,w,t,b,a,i,a,#,n,g,i,z,o,b,n,w,t,b,a,i,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,y,w,t,c,a,i,a
b,f,i,d,k,a,l,a,&,b,n,i,d,c,a,f,a,#,b,n,i,d,c,a,f,a,$,COPY	b,f,i,d,k,a,l,a
b,f,i,d,k,a,l,a,&,b,f,t,d,k,a,l,a,#,n,g,i,b,f,t,d,k,a,l,e,$,V,SG,1,PST+RCT	n,g,i,b,f,i,d,k,a,l,e
c,j,j,o,z,s,a,&,c,j,j,o,z,y,a,#,c,j,j,o,z,y,a,$,COPY	c,j,j,o,z,s,a
c,j,j,o,z,s,a,&,c,j,o,o,z,s,a,#,n,g,i,c,j,o,o,z,s,e,$,V,SG,1,PST+RCT	n,g,i,c,j,j,o,z,s,e
c,p,u,s,i,w,a,&,c,p,u,y,i,w,a,#,c,p,u,y,i,w,a,$,COPY	c,p,u,s,i,w,a
c,p,u,s,i,w,a,&,c,p,f,l,i,w,a,#,n,g,i,c,p,f,l,i,w,a,$,V,SG,1,PRS	n,g,i,c,p,u,s,i,w,a
c,j,q,u,q,s,a,&,c,j,q,u,q,v,a,#,c,j,q,u,q,v,a,$,COPY	c,j,q,u,q,s,a
c,j,q,u,q,s,a,&,c,c,q,u,q,f,a,#,n,g,a,c,c,q,u,q,f,a,$,V,SG,1,PST+RMT	n,g,a,c,j,q,u,q,s,a
c,h,l,s,i,q,a,&,c,h,d,s,i,b,a,#,c,h,d,s,i,b,a,$,COPY	c,h,l,s,i,q,a
c,h,l,s,i,q,a,&,c,h,m,w,i,q,a,#,n,g,i,z,o,c,h,m,w,i,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,h,l,s,i,q,a
c,s,a,c,e,s,a,&,c,e,a,c,v,s,a,#,c,e,a,c,v,s,a,$,COPY	c,s,a,c,e,s,a
c,s,a,c,e,s,a,&,c,m,a,c,e,s,a,#,n,g,i,y,o,c,m,a,c,e,s,a,$,V,SG,1,FUT	n,g,i,y,o,c,s,a,c,e,s,a
h,p,j,n,g,a,p,a,&,h,p,i,n,g,g,p,a,#,h,p,i,n,g,g,p,a,$,COPY	h,p,j,n,g,a,p,a
h,p,j,n,g,a,p,a,&,h,i,j,n,g,t,p,a,#,n,g,i,h,i,j,n,g,t,p,a,$,V,SG,1,PRS	n,g,i,h,p,j,n,g,a,p,a
h,i,a,n,p,p,n,a,&,h,h,a,n,p,p,n,a,#,h,h,a,n,p,p,n,a,$,COPY	h,i,a,n,p,p,n,a
h,i,a,n,p,p,n,a,&,h,d,j,n,u,k,n,a,#,n,g,i,h,d,j,n,u,k,n,e,$,V,SG,1,PST+RCT	n,g,i,h,i,a,n,p,p,n,e
h,c,a,n,g,j,u,a,&,h,c,a,n,g,v,u,a,#,h,c,a,n,g,v,u,a,$,COPY	h,c,a,n,g,j,u,a
h,c,a,n,g,j,u,a,&,h,c,u,n,g,j,u,a,#,n,g,i,y,o,h,c,u,n,g,j,u,a,$,V,SG,1,FUT	n,g,i,y,o,h,c,a,n,g,j,u,a
h,v,a,n,g,h,v,a,&,h,v,a,t,g,h,v,a,#,h,v,a,t,g,h,v,a,$,COPY	h,v,a,n,g,h,v,a
h,v,a,n,g,h,v,a,&,h,v,a,n,g,f,v,a,#,n,g,a,h,v,a,n,g,f,v,a,$,V,SG,1,PST+RMT	n,g,a,h,v,a,n,g,h,v,a
h,v,q,n,g,i,n,a,&,h,b,q,n,g,i,g,a,#,h,b,q,n,g,i,g,a,$,COPY	h,v,q,n,g,i,n,a
h,v,q,n,g,i,n,a,&,h,v,q,n,g,t,p,a,#,n,g,i,z,o,h,v,q,n,g,t,p,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,v,q,n,g,i,n,a
p,t,u,a,a,&,p,t,u,z,a,#,p,t,u,z,a,$,COPY	p,t,u,a,a
p,t,u,a,a,&,p,t,u,a,c,#,n,g,i,y,o,p,t,u,a,c,$,V,SG,1,FUT	n,g,i,y,o,p,t,u,a,a
z,k,w,m,i,&,z,q,w,m,i,#,z,q,w,m,i,$,COPY	z,k,w,m,i
z,k,w,m,i,&,z,k,w,l,i,#,n,g,i,z,k,w,l,i,$,V,SG,1,PRS	n,g,i,z,k,w,m,i
p,h,w,y,z,&,y,u,w,c,z,#,y,u,w,c,z,$,COPY	p,h,w,y,z
p,h,w,y,z,&,p,b,w,y,z,#,n,g,a,p,b,w,y,z,$,V,SG,1,PST+RMT	n,g,a,p,h,w,y,z
t,h,u,q,a,&,t,a,u,q,a,#,t,a,u,q,a,$,COPY	t,h,u,q,a
t,h,u,q,a,&,o,h,u,y,a,#,n,g,i,o,h,u,y,e,$,V,SG,1,PST+RCT	n,g,i,t,h,u,q,e
p,h,k,m,q,&,p,h,k,s,q,#,p,h,k,s,q,$,COPY	p,h,k,m,q
p,h,k,m,q,&,p,h,k,s,q,#,n,g,i,z,o,p,h,k,s,q,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,k,m,q
z,v,k,&,z,v,d,#,z,v,d,$,COPY	z,v,k
z,v,k,&,z,q,j,#,n,g,i,y,o,k,u,z,q,j,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,v,k
p,z,a,&,p,y,a,#,p,y,a,$,COPY	p,z,a
p,z,a,&,p,s,t,#,n,g,a,p,s,t,$,V,SG,1,PST+RMT	n,g,a,p,z,a
z,q,a,&,c,q,a,#,c,q,a,$,COPY	z,q,a
z,q,a,&,z,q,f,#,n,g,i,y,e,z,q,f,$,V,SG,1,PRS	n,g,i,y,e,z,q,a
z,w,a,&,z,w,c,#,n,g,i,z,o,k,u,z,w,c,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,w,a
l,a,l,a, ,p,h,g,u,s,i,&,l,l,l,o, ,p,h,g,u,s,i,#,l,l,l,o, ,p,h,g,u,s,i,$,COPY	l,a,l,a, ,p,h,g,u,s,i
l,a,l,a, ,p,h,g,u,s,i,&,z,j,l,a, ,p,h,g,u,s,i,#,n,g,i,y,o,z,j,l,a, ,p,h,g,u,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,a,l,a, ,p,h,g,u,s,i
l,a,m,c, ,p,h,p,n,g,i,&,l,a,m,f, ,p,h,p,n,g,i,#,l,a,m,f, ,p,h,p,n,g,i,$,COPY	l,a,m,c, ,p,h,p,n,g,i
l,a,m,c, ,p,h,p,n,g,i,&,e,a,m,c, ,p,h,p,n,g,i,#,n,g,a,e,a,m,c, ,p,h,p,n,g,i,$,V,SG,1,PST+RMT	n,g,a,l,a,m,c, ,p,h,p,n,g,i
l,a,l,a, ,p,h,k,n,s,i,&,i,a,o,a, ,p,h,k,n,s,i,#,i,a,o,a, ,p,h,k,n,s,i,$,COPY	l,a,l,a, ,p,h,k,n,s,i
l,a,l,a, ,p,h,k,n,s,i,&,l,a,l,a, ,p,h,k,n,n,i,#,n,g,i,l,e,l,e, ,p,h,k,n,n,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,h,k,n,s,i
u,f,l,a, ,p,p,a,n,s,i,&,u,f,v,a, ,p,p,a,n,s,i,#,u,f,v,a, ,p,p,a,n,s,i,$,COPY	u,f,l,a, ,p,p,a,n,s,i
u,f,l,a, ,p,p,a,n,s,i,&,u,f,l,w, ,p,p,a,n,s,i,#,n,g,i,z,o,u,f,l,w, ,p,p,a,n,s,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,u,f,l,a, ,p,p,a,n,s,i
l,o,k,d, ,p,h,a,t,s,i,&,i,d,c,w, ,p,h,a,t,s,i,#,i,d,c,w, ,p,h,a,t,s,i,$,COPY	l,o,k,d, ,p,h,a,t,s,i
l,o,k,d, ,p,h,a,t,s,i,&,m,o,p,d, ,p,h,a,t,s,i,#,n,g,i,m,o,p,d, ,p,h,a,t,s,i,$,V,SG,1,PRS	n,g,i,l,o,k,d, ,p,h,a,t,s,i
v,u,l,a,&,v,h,l,a,#,n,g,i,v,h,l,e,$,V,SG,1,PST+RCT	n,g,i,v,u,l,e
v,a,l,a,&,p,o,l,d,#,n,g,i,p,o,l,d,$,V,SG,1,PRS	n,g,i,v,a,l,a
v,a,t,a,&,u,a,t,p,#,u,a,t,p,$,COPY	v,a,t,a
v,a,t,a,&,v,z,t,a,#,n,g,a,v,z,t,a,$,V,SG,1,PST+RMT	n,g,a,v,a,t,a
v,f,m,a,&,v,w,e,a,#,v,w,e,a,$,COPY	v,f,m,a
v,f,m,a,&,v,f,o,a,#,n,g,i,y,o,v,f,o,a,$,V,SG,1,FUT	n,g,i,y,o,v,f,m,a
v,u,g,a,&,o,u,g,k,#,o,u,g,k,$,COPY	v,u,g,a
v,u,g,a,&,s,u,g,a,#,n,g,i,z,o,s,u,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,g,a
o,u,n,g,&,h,u,n,m,#,h,u,n,m,$,COPY	o,u,n,g
o,u,n,g,&,d,u,n,g,#,n,g,i,y,o,d,u,n,g,$,V,SG,1,FUT	n,g,i,y,o,o,u,n,g
a,u,b,a,&,y,u,b,o,#,y,u,b,o,$,COPY	a,u,b,a
a,u,b,a,&,a,w,b,a,#,n,g,a,a,w,b,a,$,V,SG,1,PST+RMT	n,g,a,a,u,b,a
v,g,m,v,&,m,g,m,v,#,m,g,m,v,$,COPY	v,g,m,v
v,g,m,v,&,v,g,t,b,#,n,g,i,v,g,t,b,$,V,SG,1,PRS	n,g,i,v,g,m,v
j,u,m,l,&,j,b,m,d,#,j,b,m,d,$,COPY	j,u,m,l
j,u,m,l,&,h,u,m,l,#,n,g,i,z,o,h,u,m,l,$,V,SG,1,FUT+IMMED	n,g,i,z,o,j,u,m,l
g,y,m,a,&,g,m,m,a,#,g,m,m,a,$,COPY	g,y,m,a
g,y,m,a,&,l,y,m,a,#,n,g,i,l,y,m,e,$,V,SG,1,PST+RCT	n,g,i,g,y,m,e
f,u,n,t,v,&,m,u,n,t,v,#,m,u,n,t,v,$,COPY	f,u,n,t,v
f,u,n,t,v,&,f,u,n,p,d,#,n,g,i,y,o,f,u,n,p,d,$,V,SG,1,FUT	n,g,i,y,o,f,u,n,t,v
f,t,i,f,s,&,p,g,i,t,s,#,p,g,i,t,s,$,COPY	f,t,i,f,s
