s,e,k,a,&,s,e,h,a,#,s,e,h,a,$,COPY	s,e,k,a
g,o,n,a,&,d,o,n,v,#,a,k,a,d,o,n,v,$,V,SG,3,PST	a,k,a,g,o,n,a
g,o,n,a,&,g,o,p,c,#,u,r,i,k,u,g,o,p,c,$,V,PROG,SG,2,PRS	u,r,i,k,u,g,o,n,a
g,o,n,a,&,i,o,g,a,#,n,d,i,n,o,i,o,g,a,$,V,SG,1,PRS	n,d,i,n,o,g,o,n,a
g,o,n,a,&,g,o,n,y,#,n,d,a,k,a,g,o,n,y,$,V,SG,1,PST	n,d,a,k,a,g,o,n,a
g,o,n,a,&,g,s,u,a,#,u,n,o,g,s,u,a,$,V,SG,2,PRS	u,n,o,g,o,n,a
g,o,n,a,&,g,o,f,a,#,w,a,k,a,g,o,f,a,$,V,SG,2,PST	w,a,k,a,g,o,n,a
g,o,n,a,&,k,o,h,a,#,t,a,k,o,h,a,$,V,PL,1,HOD	t,a,g,o,n,a
g,o,n,a,&,g,o,n,z,#,n,d,i,c,h,a,g,o,n,z,$,V,SG,1,FUT	n,d,i,c,h,a,g,o,n,a
g,o,n,a,&,g,o,y,d,#,v,a,g,o,y,d,$,V,PL,3,HOD	v,a,g,o,n,a
k,a,n,g,a,n,w,a,&,k,a,m,g,a,n,s,a,#,k,a,m,g,a,n,s,a,$,COPY	k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,g,n,t,a,#,t,i,r,i,k,u,k,a,n,g,g,n,t,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,n,m,a,#,w,a,k,a,k,a,n,g,a,n,m,a,$,V,SG,2,PST	w,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,o,a,s,w,a,#,m,u,n,o,k,a,n,o,a,s,w,a,$,V,PL,2,PRS	m,u,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,a,a,n,w,a,#,a,k,a,n,a,a,n,w,a,$,V,SG,3,HOD	a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,n,d,a,#,m,a,k,a,k,a,n,g,a,n,d,a,$,V,PL,2,PST	m,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,o,a,n,w,a,#,n,d,a,k,a,k,a,n,o,a,n,w,a,$,V,SG,1,PST	n,d,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,k,a,n,w,a,#,t,a,k,a,k,a,n,k,a,n,w,a,$,V,PL,1,PST	t,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,d,n,w,a,#,t,i,c,h,a,k,a,n,g,d,n,w,a,$,V,PL,1,FUT	t,i,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,f,g,s,n,w,a,#,n,d,i,r,i,k,u,k,a,f,g,s,n,w,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,e,w,a,#,a,k,a,k,a,n,g,a,e,w,a,$,V,SG,3,PST	a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,a,g,a,n,b,a,#,u,c,h,a,k,a,a,g,a,n,b,a,$,V,SG,2,FUT	u,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,k,d,a,n,w,a,#,t,i,n,o,k,a,k,d,a,n,w,a,$,V,PL,1,PRS	t,i,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,p,w,a,#,n,d,i,c,h,a,k,a,n,g,a,p,w,a,$,V,SG,1,FUT	n,d,i,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,p,a,n,y,a,#,v,a,n,o,k,a,n,p,a,n,y,a,$,V,PL,3,PRS	v,a,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,w,g,n,z,w,a,#,w,a,k,a,w,g,n,z,w,a,$,V,SG,2,HOD	w,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,p,y,g,a,n,w,a,#,v,a,c,h,a,k,p,y,g,a,n,w,a,$,V,PL,3,FUT	v,a,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,n,p,a,#,v,a,k,a,n,g,a,n,p,a,$,V,PL,3,HOD	v,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,f,v,a,n,d,a,#,n,d,a,k,a,f,v,a,n,d,a,$,V,SG,1,HOD	n,d,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,g,g,a,n,w,a,#,a,c,h,a,k,a,g,g,a,n,w,a,$,V,SG,3,FUT	a,c,h,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,k,c,a,#,m,a,k,a,n,g,a,k,c,a,$,V,PL,2,HOD	m,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,m,n,b,a,#,n,d,i,n,o,k,a,n,g,m,n,b,a,$,V,SG,1,PRS	n,d,i,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,w,n,w,a,#,t,a,k,a,n,g,w,n,w,a,$,V,PL,1,HOD	t,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,d,g,a,n,w,a,#,m,u,r,i,k,u,k,a,d,g,a,n,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,a,n,u,a,#,u,n,o,k,a,n,g,a,n,u,a,$,V,SG,2,PRS	u,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,n,a,n,u,a,#,a,r,i,k,u,k,a,n,n,a,n,u,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,o,a,n,w,a,#,a,n,o,k,a,n,o,a,n,w,a,$,V,SG,3,PRS	a,n,o,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,b,n,v,a,n,z,a,#,v,a,r,i,k,u,k,b,n,v,a,n,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,g,w,n,w,a,#,u,r,i,k,u,k,a,n,g,w,n,w,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,s,n,g,a,n,w,a,#,v,a,k,a,k,s,n,g,a,n,w,a,$,V,PL,3,PST	v,a,k,a,k,a,n,g,a,n,w,a
k,a,n,g,a,n,w,a,&,k,a,n,b,a,n,f,a,#,m,u,c,h,a,k,a,n,b,a,n,f,a,$,V,PL,2,FUT	m,u,c,h,a,k,a,n,g,a,n,w,a
r,a,t,i,d,z,a,&,r,a,t,i,n,z,a,#,r,a,t,i,n,z,a,$,COPY	r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,b,t,o,c,z,a,#,t,i,c,h,a,r,b,t,o,c,z,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,d,n,a,#,n,d,i,n,o,r,a,t,i,d,n,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,p,n,n,d,p,a,#,n,d,i,c,h,a,r,p,n,n,d,p,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,m,i,d,z,a,#,n,d,a,k,a,r,a,m,i,d,z,a,$,V,SG,1,PST	n,d,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,a,k,d,z,a,#,t,i,n,o,r,a,a,k,d,z,a,$,V,PL,1,PRS	t,i,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,w,t,d,d,z,a,#,u,c,h,a,r,w,t,d,d,z,a,$,V,SG,2,FUT	u,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,k,t,i,d,p,a,#,t,i,r,i,k,u,r,k,t,i,d,p,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,h,i,t,z,a,#,m,u,n,o,r,a,h,i,t,z,a,$,V,PL,2,PRS	m,u,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,o,t,y,u,i,a,#,v,a,k,a,r,o,t,y,u,i,a,$,V,PL,3,PST	v,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,h,d,z,a,#,w,a,k,a,r,a,t,h,d,z,a,$,V,SG,2,PST	w,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,h,t,i,d,z,a,#,u,r,i,k,u,r,h,t,i,d,z,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,r,t,i,d,z,a,#,t,a,k,a,r,r,t,i,d,z,a,$,V,PL,1,PST	t,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,w,d,z,a,#,w,a,r,a,t,w,d,z,a,$,V,SG,2,HOD	w,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,z,i,d,z,a,#,n,d,a,r,a,z,i,d,z,a,$,V,SG,1,HOD	n,d,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,b,i,d,z,a,#,v,a,c,h,a,r,a,b,i,d,z,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,b,a,z,a,#,u,n,o,r,a,t,b,a,z,a,$,V,SG,2,PRS	u,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,h,d,z,a,#,m,a,k,a,r,a,t,h,d,z,a,$,V,PL,2,PST	m,a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,s,t,a,d,z,a,#,m,a,r,s,t,a,d,z,a,$,V,PL,2,HOD	m,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,k,i,d,z,a,#,a,n,o,r,a,k,i,d,z,a,$,V,SG,3,PRS	a,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,d,t,i,d,z,a,#,a,c,h,a,r,d,t,i,d,z,a,$,V,SG,3,FUT	a,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,c,d,z,a,#,v,a,r,a,t,c,d,z,a,$,V,PL,3,HOD	v,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,o,z,a,#,a,r,i,k,u,r,a,t,i,o,z,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,m,i,k,z,a,#,v,a,r,i,k,u,r,a,m,i,k,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,p,t,i,d,z,a,#,m,u,c,h,a,r,p,t,i,d,z,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,c,z,a,#,m,u,r,i,k,u,r,a,t,i,c,z,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,r,o,h,d,z,a,#,n,d,i,r,i,k,u,r,r,o,h,d,z,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,b,z,a,#,v,a,n,o,r,a,t,i,b,z,a,$,V,PL,3,PRS	v,a,n,o,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,d,m,a,#,a,r,a,t,i,d,m,a,$,V,SG,3,HOD	a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,o,z,a,#,a,k,a,r,a,t,i,o,z,a,$,V,SG,3,PST	a,k,a,r,a,t,i,d,z,a
r,a,t,i,d,z,a,&,r,a,t,i,o,z,a,#,t,a,r,a,t,i,o,z,a,$,V,PL,1,HOD	t,a,r,a,t,i,d,z,a
t,u,m,i,r,a,&,t,d,m,i,z,a,#,t,d,m,i,z,a,$,COPY	t,u,m,i,r,a
t,u,m,i,r,a,&,t,v,m,i,r,a,#,u,n,o,t,v,m,i,r,a,$,V,SG,2,PRS	u,n,o,t,u,m,i,r,a
t,u,m,i,r,a,&,t,g,m,a,r,a,#,a,c,h,a,t,g,m,a,r,a,$,V,SG,3,FUT	a,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,h,i,y,a,#,w,a,t,u,h,i,y,a,$,V,SG,2,HOD	w,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,y,i,r,a,#,v,a,n,o,t,u,y,i,r,a,$,V,PL,3,PRS	v,a,n,o,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,r,e,a,a,#,u,r,i,k,u,t,u,r,e,a,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,&,t,s,m,i,r,a,#,t,a,t,s,m,i,r,a,$,V,PL,1,HOD	t,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,i,c,r,a,#,m,u,r,i,k,u,t,u,i,c,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,c,r,a,#,n,d,a,t,u,m,c,r,a,$,V,SG,1,HOD	n,d,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,v,a,a,#,m,a,k,a,t,u,m,v,a,a,$,V,PL,2,PST	m,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,a,m,i,r,a,#,a,t,a,m,i,r,a,$,V,SG,3,HOD	a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,d,i,r,a,#,m,u,n,o,t,u,d,i,r,a,$,V,PL,2,PRS	m,u,n,o,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,t,i,r,a,#,m,u,c,h,a,t,u,t,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,c,m,i,r,a,#,t,i,c,h,a,t,c,m,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,a,m,i,r,a,#,n,d,a,k,a,t,a,m,i,r,a,$,V,SG,1,PST	n,d,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,w,i,r,a,#,a,n,o,t,u,w,i,r,a,$,V,SG,3,PRS	a,n,o,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,s,r,a,#,a,r,i,k,u,t,u,m,s,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,a,r,a,#,v,a,c,h,a,t,u,m,a,r,a,$,V,PL,3,FUT	v,a,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,p,r,a,#,t,i,r,i,k,u,t,u,m,p,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,i,k,a,#,n,d,i,c,h,a,t,u,m,i,k,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,v,r,a,#,a,k,a,t,u,m,v,r,a,$,V,SG,3,PST	a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,w,r,a,#,u,c,h,a,t,u,m,w,r,a,$,V,SG,2,FUT	u,c,h,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,b,m,i,r,a,#,v,a,k,a,t,b,m,i,r,a,$,V,PL,3,PST	v,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,s,m,i,z,a,#,t,a,k,a,t,s,m,i,z,a,$,V,PL,1,PST	t,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,p,y,i,a,#,v,a,t,u,p,y,i,a,$,V,PL,3,HOD	v,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,w,r,a,#,n,d,i,r,i,k,u,t,u,m,w,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,o,i,w,a,#,m,a,t,u,o,i,w,a,$,V,PL,2,HOD	m,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,m,i,z,a,#,v,a,r,i,k,u,t,u,m,i,z,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,u,m,i,r,a
t,u,m,i,r,a,&,t,d,m,i,r,a,#,w,a,k,a,t,d,m,i,r,a,$,V,SG,2,PST	w,a,k,a,t,u,m,i,r,a
t,u,m,i,r,a,&,t,u,b,e,r,a,#,n,d,i,n,o,t,u,b,e,r,a,$,V,SG,1,PRS	n,d,i,n,o,t,u,m,i,r,a
t,u,m,i,r,a,&,t,p,m,i,o,a,#,t,i,n,o,t,p,m,i,o,a,$,V,PL,1,PRS	t,i,n,o,t,u,m,i,r,a
f,a,r,i,r,a,&,f,a,u,i,r,a,#,f,a,u,i,r,a,$,COPY	f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,w,i,r,a,#,w,a,k,a,f,a,w,i,r,a,$,V,SG,2,PST	w,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,o,r,v,o,a,#,a,k,a,f,o,r,v,o,a,$,V,SG,3,PST	a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,u,r,i,r,a,#,v,a,k,a,f,u,r,i,r,a,$,V,PL,3,PST	v,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,e,r,i,r,a,#,a,n,o,f,e,r,i,r,a,$,V,SG,3,PRS	a,n,o,f,a,r,i,r,a
f,a,r,i,r,a,&,f,s,r,m,n,a,#,m,u,r,i,k,u,f,s,r,m,n,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,&,f,g,r,i,r,a,#,n,d,i,c,h,a,f,g,r,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,v,i,r,a,#,v,a,c,h,a,f,a,v,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,i,e,a,#,t,i,r,i,k,u,f,a,r,i,e,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,&,f,n,w,i,b,a,#,n,d,i,r,i,k,u,f,n,w,i,b,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,&,f,v,r,i,r,a,#,u,n,o,f,v,r,i,r,a,$,V,SG,2,PRS	u,n,o,f,a,r,i,r,a
f,a,r,i,r,a,&,f,z,r,s,r,a,#,m,u,c,h,a,f,z,r,s,r,a,$,V,PL,2,FUT	m,u,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,o,r,a,#,t,a,f,a,r,o,r,a,$,V,PL,1,HOD	t,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,s,r,a,#,a,c,h,a,f,a,r,s,r,a,$,V,SG,3,FUT	a,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,b,r,i,r,a,#,v,a,r,i,k,u,f,b,r,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,m,i,r,a,#,m,a,f,a,m,i,r,a,$,V,PL,2,HOD	m,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,e,r,i,r,a,#,n,d,i,n,o,f,e,r,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,b,a,a,#,v,a,n,o,f,a,r,b,a,a,$,V,PL,3,PRS	v,a,n,o,f,a,r,i,r,a
f,a,r,i,r,a,&,f,g,k,i,r,a,#,u,c,h,a,f,g,k,i,r,a,$,V,SG,2,FUT	u,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,c,r,r,a,#,n,d,a,f,a,c,r,r,a,$,V,SG,1,HOD	n,d,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,p,r,s,r,a,#,m,u,n,o,f,p,r,s,r,a,$,V,PL,2,PRS	m,u,n,o,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,i,g,a,#,v,a,f,a,r,i,g,a,$,V,PL,3,HOD	v,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,i,a,a,#,w,a,f,a,r,i,a,a,$,V,SG,2,HOD	w,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,h,r,i,r,a,#,t,i,c,h,a,f,h,r,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,e,i,a,#,t,i,n,o,f,a,r,e,i,a,$,V,PL,1,PRS	t,i,n,o,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,z,i,k,a,#,a,r,i,k,u,f,a,z,i,k,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,&,f,w,r,i,r,a,#,n,d,a,k,a,f,w,r,i,r,a,$,V,SG,1,PST	n,d,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,k,r,a,#,a,f,a,r,k,r,a,$,V,SG,3,HOD	a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,b,b,r,a,#,u,r,i,k,u,f,a,b,b,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,f,a,r,i,r,a
f,a,r,i,r,a,&,f,a,r,b,r,a,#,t,a,k,a,f,a,r,b,r,a,$,V,PL,1,PST	t,a,k,a,f,a,r,i,r,a
f,a,r,i,r,a,&,f,k,r,i,r,a,#,m,a,k,a,f,k,r,i,r,a,$,V,PL,2,PST	m,a,k,a,f,a,r,i,r,a
k,w,a,n,i,s,a,&,k,f,f,n,i,s,a,#,k,f,f,n,i,s,a,$,COPY	k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,u,i,a,a,#,a,k,w,a,u,i,a,a,$,V,SG,3,HOD	a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,u,i,a,a,#,w,a,k,a,k,w,a,u,i,a,a,$,V,SG,2,PST	w,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,c,n,i,d,a,#,u,r,i,k,u,k,w,c,n,i,d,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,r,h,a,#,t,i,c,h,a,k,w,a,n,r,h,a,$,V,PL,1,FUT	t,i,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,e,c,n,i,s,a,#,m,u,r,i,k,u,k,e,c,n,i,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,c,n,i,s,a,#,m,u,c,h,a,k,w,c,n,i,s,a,$,V,PL,2,FUT	m,u,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,z,n,i,s,a,#,v,a,k,w,z,n,i,s,a,$,V,PL,3,HOD	v,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,o,s,a,#,u,n,o,k,w,a,n,o,s,a,$,V,SG,2,PRS	u,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,y,n,i,s,a,#,n,d,a,k,a,k,w,y,n,i,s,a,$,V,SG,1,PST	n,d,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,i,u,a,#,t,i,n,o,k,w,a,n,i,u,a,$,V,PL,1,PRS	t,i,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,g,s,a,#,m,a,k,w,a,n,g,s,a,$,V,PL,2,HOD	m,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,m,b,u,i,s,a,#,u,c,h,a,k,m,b,u,i,s,a,$,V,SG,2,FUT	u,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,c,i,s,a,#,m,u,n,o,k,w,a,c,i,s,a,$,V,PL,2,PRS	m,u,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,y,c,a,#,a,r,i,k,u,k,w,a,n,y,c,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,i,n,a,#,w,a,k,w,a,n,i,n,a,$,V,SG,2,HOD	w,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,i,h,a,#,v,a,r,i,k,u,k,w,a,n,i,h,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,f,i,s,a,#,n,d,a,k,w,a,f,i,s,a,$,V,SG,1,HOD	n,d,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,z,n,i,s,a,#,m,a,k,a,k,w,z,n,i,s,a,$,V,PL,2,PST	m,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,a,a,n,i,s,a,#,n,d,i,n,o,k,a,a,n,i,s,a,$,V,SG,1,PRS	n,d,i,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,i,f,a,#,v,a,n,o,k,w,a,n,i,f,a,$,V,PL,3,PRS	v,a,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,n,h,u,a,#,t,i,r,i,k,u,k,w,a,n,h,u,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,t,i,s,a,#,v,a,k,a,k,w,a,t,i,s,a,$,V,PL,3,PST	v,a,k,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,g,n,i,s,a,#,a,n,o,k,w,g,n,i,s,a,$,V,SG,3,PRS	a,n,o,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,f,a,u,i,s,a,#,n,d,i,c,h,a,k,f,a,u,i,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,w,a,k,i,s,a,#,t,a,k,w,a,k,i,s,a,$,V,PL,1,HOD	t,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,s,a,n,i,s,a,#,v,a,c,h,a,k,s,a,n,i,s,a,$,V,PL,3,FUT	v,a,c,h,a,k,w,a,n,i,s,a
k,w,a,n,i,s,a,&,k,v,a,n,i,s,a,#,n,d,i,r,i,k,u,k,v,a,n,i,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,k,w,a,n,i,s,a
