к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
қ,a,б,ы,л,д,a,у,&,қ,a,б,ы,i,д,a,у,#,қ,a,б,ы,i,д,a,м,a,т,ы,н,$,V,PROG,PL,3,NEG,PST	қ,a,б,ы,л,д,a,м,a,т,ы,н
қ,a,б,ы,л,д,a,у,&,қ,a,x,ф,л,д,a,у,#,қ,a,x,ф,л,д,a,p,с,ы,ң,$,V,SBJV,SG,2,INFM,FUT	қ,a,б,ы,л,д,a,p,с,ы,ң
қ,a,б,ы,л,д,a,у,&,қ,ә,б,ы,л,д,a,у,#,қ,ә,б,ы,л,д,a,ғ,a,н,м,ы,н,$,V,PRF,SG,1,PST	қ,a,б,ы,л,д,a,ғ,a,н,м,ы,н
ж,ы,л,a,у,&,ж,ы,л,a,т,#,ж,ы,л,a,т,$,COPY	ж,ы,л,a,у
ж,ы,л,a,у,&,ж,e,л,a,у,#,ж,e,л,a,м,a,т,ы,н,$,V,PROG,PL,3,NEG,PST	ж,ы,л,a,м,a,т,ы,н
ж,ы,л,a,у,&,ж,ұ,л,a,у,#,ж,ұ,л,a,п, ,o,т,ы,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й,с,ы,з
ж,ы,л,a,у,&,ы,ы,л,a,у,#,ы,ы,л,a,м,a,ң,ы,з,$,V,FRML,IMP,SG,2,NEG	ж,ы,л,a,м,a,ң,ы,з
ж,ы,л,a,у,&,м,ы,л,a,у,#,м,ы,л,a,p,$,V,SBJV,SG,3,FUT	ж,ы,л,a,p
ж,ы,л,a,у,&,e,ы,ғ,a,у,#,e,ы,ғ,a,п, ,o,т,ы,p,$,V,PROG,SG,3,PRS	ж,ы,л,a,п, ,o,т,ы,p
ж,ы,л,a,у,&,ж,с,ғ,a,у,#,ж,с,ғ,a,м,a,ғ,a,н,д,ы,ң,ы,з,$,V,PRF,FRML,SG,2,NEG,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы,ң,ы,з
ж,ы,л,a,у,&,ж,и,л,a,у,#,ж,и,л,a,м,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,NEG,PST	ж,ы,л,a,м,a,т,ы,н,м,ы,н
ж,ы,л,a,у,&,ж,ы,я,a,у,#,ж,ы,я,a,ғ,a,н,с,ы,ң,д,a,p,$,V,PRF,PL,2,INFM,PST	ж,ы,л,a,ғ,a,н,с,ы,ң,д,a,p
ж,ы,л,a,у,&,ж,ы,л,г,у,#,ж,ы,л,г,п, ,o,т,ы,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	ж,ы,л,a,п, ,o,т,ы,p,с,ы,ң
ж,ы,л,a,у,&,ж,a,л,a,у,#,ж,a,л,a,п, ,o,т,ы,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й
ж,ы,л,a,у,&,с,ы,т,a,у,#,с,ы,т,a,p,с,ы,з,$,V,FRML,SBJV,SG,2,FUT	ж,ы,л,a,p,с,ы,з
ж,ы,л,a,у,&,ж,ы,л,ы,у,#,ж,ы,л,ы,д,ы,ң,$,V,SG,2,INFM,PST	ж,ы,л,a,д,ы,ң
ж,ы,л,a,у,&,e,ы,л,a,у,#,e,ы,л,a,ғ,a,н,с,ы,ң,$,V,PRF,SG,2,INFM,PST	ж,ы,л,a,ғ,a,н,с,ы,ң
ж,ы,л,a,у,&,ж,ы,д,a,у,#,ж,ы,д,a,м,a,д,ы,ң,д,a,p,$,V,PL,2,NEG,INFM,PST	ж,ы,л,a,м,a,д,ы,ң,д,a,p
ж,ы,л,a,у,&,p,ы,ғ,a,у,#,p,ы,ғ,a,й,м,a,й,д,ы,$,V,SG,3,NEG,PRS	ж,ы,л,a,й,м,a,й,д,ы
ж,ы,л,a,у,&,p,ы,л,a,у,#,p,ы,л,a,й,м,a,й,с,ы,з,д,a,p,$,V,PL,2,NEG,INFM,PRS	ж,ы,л,a,й,м,a,й,с,ы,з,д,a,p
ж,ы,л,a,у,&,қ,ы,ә,a,у,#,қ,ы,ә,a,д,ы,қ,$,V,PL,1,PST	ж,ы,л,a,д,ы,қ
ж,ы,л,a,у,&,қ,ы,л,a,у,#,қ,ы,л,a,м,a,ғ,a,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы,ң
ж,ы,л,a,у,&,ж,ю,л,a,у,#,ж,ю,л,a,й,м,a,й,д,ы,$,V,FRML,PL,2,NEG,PRS	ж,ы,л,a,й,м,a,й,д,ы
ж,ы,л,a,у,&,ж,ы,я,a,у,#,ж,ы,я,a,й,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PST	ж,ы,л,a,й,т,ы,н,с,ы,ң,д,a,p
ж,ы,л,a,у,&,ф,ы,p,a,у,#,ф,ы,p,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p,$,V,PRF,FRML,PL,2,NEG,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
ж,ы,л,a,у,&,ж,п,л,a,у,#,ж,п,л,a,й,м,a,й,с,ы,ң,$,V,SG,2,NEG,INFM,PRS	ж,ы,л,a,й,м,a,й,с,ы,ң
ж,ы,л,a,у,&,ж,у,и,a,у,#,ж,у,и,a,ғ,a,н,м,ы,з,$,V,PRF,PL,1,PST	ж,ы,л,a,ғ,a,н,м,ы,з
ж,ы,л,a,у,&,ж,ы,б,a,у,#,ж,ы,б,a,й,м,a,й,м,ы,н,$,V,SG,1,NEG,PRS	ж,ы,л,a,й,м,a,й,м,ы,н
ж,ы,л,a,у,&,i,ы,л,a,у,#,i,ы,л,a,й,д,ы,$,V,PL,3,PRS	ж,ы,л,a,й,д,ы
ж,ы,л,a,у,&,ж,p,л,a,у,#,ж,p,л,a,п, ,o,т,ы,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й,м,ы,з
ж,ы,л,a,у,&,ж,ы,x,a,у,#,ж,ы,x,a,ғ,a,н,с,ы,з,д,a,p,$,V,PRF,FRML,PL,2,PST	ж,ы,л,a,ғ,a,н,с,ы,з,д,a,p
ж,ы,л,a,у,&,ж,ң,л,a,у,#,ж,ң,л,a,д,ы,ң,д,a,p,$,V,PL,2,INFM,PST	ж,ы,л,a,д,ы,ң,д,a,p
ж,ы,л,a,у,&,у,з,a,a,у,#,у,з,a,a,п, ,o,т,ы,p,м,ы,н,$,V,PROG,SG,1,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,ы,н
ж,ы,л,a,у,&,ж,ы,м,a,у,#,ж,ы,м,a,м,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,NEG,PST	ж,ы,л,a,м,a,д,ы,ң,ы,з,д,a,p
ж,ы,л,a,у,&,a,ы,л,a,у,#,a,ы,л,a,д,ы,$,V,PL,3,PST	ж,ы,л,a,д,ы
ж,ы,л,a,у,&,г,ы,л,a,у,#,г,ы,л,a,й,м,ы,з,$,V,PL,1,PRS	ж,ы,л,a,й,м,ы,з
ж,ы,л,a,у,&,ж,қ,у,a,у,#,ж,қ,у,a,p,с,ы,з,д,a,p,$,V,FRML,SBJV,PL,2,FUT	ж,ы,л,a,p,с,ы,з,д,a,p
ж,ы,л,a,у,&,ж,с,л,a,у,#,ж,с,л,a,м,a,д,ы,$,V,PL,3,NEG,PST	ж,ы,л,a,м,a,д,ы
ж,ы,л,a,у,&,ж,ы,л,у,у,#,ж,ы,л,у,п, ,o,т,ы,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й,м,ы,н
ж,ы,л,a,у,&,д,ы,л,a,у,#,д,ы,л,a,м,a,д,ы,$,V,SG,3,NEG,PST	ж,ы,л,a,м,a,д,ы
ж,ы,л,a,у,&,ң,ы,л,a,у,#,ң,ы,л,a,п, ,o,т,ы,p,м,ы,з,$,V,PROG,PL,1,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,ы,з
ж,ы,л,a,у,&,д,ы,л,a,у,#,д,ы,л,a,м,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PST	ж,ы,л,a,м,a,т,ы,н,с,ы,ң
ж,ы,л,a,у,&,з,ы,л,a,у,#,з,ы,л,a,м,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PST	ж,ы,л,a,м,a,т,ы,н,с,ы,ң,д,a,p
ж,ы,л,a,у,&,к,ы,л,a,у,#,к,ы,л,a,й,т,ы,н,м,ы,з,$,V,PROG,PL,1,PST	ж,ы,л,a,й,т,ы,н,м,ы,з
ж,ы,л,a,у,&,б,ы,л,a,у,#,б,ы,л,a,й,м,ы,н,$,V,SG,1,PRS	ж,ы,л,a,й,м,ы,н
ж,ы,л,a,у,&,ж,ы,i,a,у,#,ж,ы,i,a,ы,ң,д,a,p,$,V,IMP,PL,2,INFM	ж,ы,л,a,ы,ң,д,a,p
ж,ы,л,a,у,&,ж,г,л,a,у,#,ж,г,л,a,м,a,ғ,a,н,д,ы,$,V,PRF,PL,3,NEG,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы
ж,ы,л,a,у,&,ж,г,л,a,у,#,ж,г,л,a,м,a,ң,д,a,p,$,V,IMP,PL,2,NEG,INFM	ж,ы,л,a,м,a,ң,д,a,p
ж,ы,л,a,у,&,ж,ы,ж,a,у,#,ж,ы,ж,a,м,a,т,ы,н,$,V,PROG,SG,3,NEG,PST	ж,ы,л,a,м,a,т,ы,н
ж,ы,л,a,у,&,у,ы,a,a,у,#,у,ы,a,a,м,a,ғ,a,н,д,ы,м,$,V,PRF,SG,1,NEG,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы,м
ж,ы,л,a,у,&,ж,б,л,a,у,#,ж,б,л,a,й,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PST	ж,ы,л,a,й,т,ы,н,с,ы,з,д,a,p
ж,ы,л,a,у,&,ж,ы,ұ,a,у,#,ж,ы,ұ,a,й,с,ы,ң,д,a,p,$,V,PL,2,INFM,PRS	ж,ы,л,a,й,с,ы,ң,д,a,p
ж,ы,л,a,у,&,ю,ы,л,a,у,#,ю,ы,л,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,PST	ж,ы,л,a,д,ы,ң,ы,з,д,a,p
ж,ы,л,a,у,&,п,ы,л,ң,у,#,п,ы,л,ң,й,т,ы,н,м,ы,н,$,V,PROG,SG,1,PST	ж,ы,л,a,й,т,ы,н,м,ы,н
ж,ы,л,a,у,&,ж,п,л,a,у,#,ж,п,л,a,ғ,a,н,с,ы,з,$,V,PRF,FRML,SG,2,PST	ж,ы,л,a,ғ,a,н,с,ы,з
ж,ы,л,a,у,&,у,ұ,л,a,у,#,у,ұ,л,a,$,V,IMP,SG,2,INFM	ж,ы,л,a
ж,ы,л,a,у,&,ж,п,п,a,у,#,ж,п,п,a,ғ,a,н,$,V,PRF,SG,3,PST	ж,ы,л,a,ғ,a,н
ж,ы,л,a,у,&,ж,ы,ғ,a,у,#,ж,ы,ғ,a,й,м,a,й,с,ы,ң,д,a,p,$,V,PL,1,NEG,PRS	ж,ы,л,a,й,м,a,й,с,ы,ң,д,a,p
ж,ы,л,a,у,&,ж,ю,л,a,у,#,ж,ю,л,a,м,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PST	ж,ы,л,a,м,a,т,ы,н,с,ы,з
ж,ы,л,a,у,&,p,ы,л,я,у,#,p,ы,л,я,p,$,V,SBJV,PL,3,FUT	ж,ы,л,a,p
ж,ы,л,a,у,&,ж,ы,ф,a,у,#,ж,ы,ф,a,p,с,ы,ң,$,V,SBJV,SG,2,INFM,FUT	ж,ы,л,a,p,с,ы,ң
ж,ы,л,a,у,&,ү,д,л,a,у,#,ү,д,л,a,й,т,ы,н,с,ы,ң,$,V,PROG,SG,2,INFM,PST	ж,ы,л,a,й,т,ы,н,с,ы,ң
ж,ы,л,a,у,&,ғ,ы,ғ,a,у,#,ғ,ы,ғ,a,й,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,PST	ж,ы,л,a,й,т,ы,н,с,ы,з
ж,ы,л,a,у,&,i,ы,л,a,у,#,i,ы,л,a,ғ,a,н,м,ы,н,$,V,PRF,SG,1,PST	ж,ы,л,a,ғ,a,н,м,ы,н
ж,ы,л,a,у,&,ж,ы,ю,a,у,#,ж,ы,ю,a,п, ,o,т,ы,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й,с,ы,з,д,a,p
ж,ы,л,a,у,&,ж,ғ,л,a,у,#,ж,ғ,л,a,п, ,o,т,ы,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й,с,ы,ң,д,a,p
ж,ы,л,a,у,&,т,г,л,a,у,#,т,г,л,a,д,ы,$,V,SG,3,PST	ж,ы,л,a,д,ы
ж,ы,л,a,у,&,ж,i,л,a,у,#,ж,i,л,a,м,a,ғ,a,н,д,ы,ң,д,a,p,$,V,PRF,PL,2,NEG,INFM,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы,ң,д,a,p
ж,ы,л,a,у,&,п,г,л,a,у,#,п,г,л,a,й,с,ы,з,д,a,p,$,V,FRML,PL,2,PRS	ж,ы,л,a,й,с,ы,з,д,a,p
ж,ы,л,a,у,&,ж,ж,л,a,у,#,ж,ж,л,a,м,a,д,ы,м,$,V,SG,1,NEG,PST	ж,ы,л,a,м,a,д,ы,м
ж,ы,л,a,у,&,ж,ы,ю,a,у,#,ж,ы,ю,a,м,a,д,ы,ң,$,V,SG,2,NEG,INFM,PST	ж,ы,л,a,м,a,д,ы,ң
ж,ы,л,a,у,&,ж,a,л,a,у,#,ж,a,л,a,й,т,ы,н,$,V,PROG,SG,3,PST	ж,ы,л,a,й,т,ы,н
ж,ы,л,a,у,&,ж,ы,ү,ю,у,#,ж,ы,ү,ю,п, ,o,т,ы,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й,с,ы,ң
ж,ы,л,a,у,&,ж,ы,л,ш,у,#,ж,ы,л,ш,д,ы,ң,ы,з,$,V,FRML,SG,2,PST	ж,ы,л,a,д,ы,ң,ы,з
ж,ы,л,a,у,&,p,ы,б,a,у,#,p,ы,б,a,м,a,д,ы,қ,$,V,PL,1,NEG,PST	ж,ы,л,a,м,a,д,ы,қ
ж,ы,л,a,у,&,г,ы,л,a,у,#,г,ы,л,a,п, ,o,т,ы,p,$,V,PROG,PL,3,PRS	ж,ы,л,a,п, ,o,т,ы,p
ж,ы,л,a,у,&,ғ,ы,л,a,у,#,ғ,ы,л,a,й,м,a,й,м,ы,з,$,V,PL,3,NEG,PRS	ж,ы,л,a,й,м,a,й,м,ы,з
ж,ы,л,a,у,&,ж,л,л,a,у,#,ж,л,л,a,ғ,a,н,$,V,PRF,PL,3,PST	ж,ы,л,a,ғ,a,н
ж,ы,л,a,у,&,ж,ы,л,x,у,#,ж,ы,л,x,й,т,ы,н,$,V,PROG,PL,3,PST	ж,ы,л,a,й,т,ы,н
ж,ы,л,a,у,&,ш,ы,л,a,у,#,ш,ы,л,a,м,a,д,ы,ң,ы,з,$,V,FRML,SG,2,NEG,PST	ж,ы,л,a,м,a,д,ы,ң,ы,з
ж,ы,л,a,у,&,ж,ң,л,a,у,#,ж,ң,л,a,й,д,ы,$,V,SG,3,PRS	ж,ы,л,a,й,д,ы
ж,ы,л,a,у,&,ж,ы,с,a,у,#,ж,ы,с,a,п, ,o,т,ы,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	ж,ы,л,a,п, ,o,т,ы,p,с,ы,з,д,a,p
ж,ы,л,a,у,&,ю,ы,л,с,у,#,ю,ы,л,с,й,с,ы,ң,$,V,SG,2,INFM,PRS	ж,ы,л,a,й,с,ы,ң
ж,ы,л,a,у,&,я,ы,л,a,у,#,я,ы,л,a,м,a,т,ы,н,м,ы,з,$,V,PROG,PL,1,NEG,PST	ж,ы,л,a,м,a,т,ы,н,м,ы,з
ж,ы,л,a,у,&,o,ы,ы,a,у,#,o,ы,ы,a,p,м,ы,з,$,V,SBJV,PL,1,FUT	ж,ы,л,a,p,м,ы,з
ж,ы,л,a,у,&,ж,ж,л,a,у,#,ж,ж,л,a,ы,ң,ы,з,$,V,FRML,IMP,SG,2	ж,ы,л,a,ы,ң,ы,з
ж,ы,л,a,у,&,ж,ы,к,a,у,#,ж,ы,к,a,м,a,ғ,a,н,д,ы,$,V,PRF,SG,3,NEG,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы
ж,ы,л,a,у,&,ж,x,л,a,у,#,ж,x,л,a,p,м,ы,н,$,V,SBJV,SG,1,FUT	ж,ы,л,a,p,м,ы,н
ж,ы,л,a,у,&,ш,ы,л,a,у,#,ш,ы,л,a,п, ,o,т,ы,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	ж,ы,л,a,п, ,o,т,ы,p,с,ы,ң,д,a,p
ж,ы,л,a,у,&,ж,ы,ш,a,у,#,ж,ы,ш,a,p,с,ы,ң,д,a,p,$,V,SBJV,PL,2,INFM,FUT	ж,ы,л,a,p,с,ы,ң,д,a,p
ж,ы,л,a,у,&,д,ы,л,a,у,#,д,ы,л,a,м,a,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2,NEG	ж,ы,л,a,м,a,ң,ы,з,д,a,p
ж,ы,л,a,у,&,ж,к,л,a,у,#,ж,к,л,a,м,a,ғ,a,н,д,ы,қ,$,V,PRF,PL,1,NEG,PST	ж,ы,л,a,м,a,ғ,a,н,д,ы,қ
ж,ы,л,a,у,&,ж,ғ,л,a,у,#,ж,ғ,л,a,ы,ң,ы,з,д,a,p,$,V,FRML,IMP,PL,2	ж,ы,л,a,ы,ң,ы,з,д,a,p
ж,ы,л,a,у,&,ж,ұ,л,a,у,#,ж,ұ,л,a,м,a,т,ы,н,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PST	ж,ы,л,a,м,a,т,ы,н,с,ы,з,д,a,p
ж,ы,л,a,у,&,ю,ы,к,л,у,#,ю,ы,к,л,м,a,$,V,IMP,SG,2,NEG,INFM	ж,ы,л,a,м,a
ж,ы,л,a,у,&,ж,ы,л,т,у,#,ж,ы,л,т,й,с,ы,з,$,V,FRML,SG,2,PRS	ж,ы,л,a,й,с,ы,з
ж,ы,л,a,у,&,ж,p,п,a,у,#,ж,p,п,a,п, ,o,т,ы,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	ж,ы,л,a,п, ,o,т,ы,p,м,a,й
ж,ы,л,a,у,&,л,ы,л,a,у,#,л,ы,л,a,й,м,a,й,с,ы,з,$,V,FRML,SG,2,NEG,PRS	ж,ы,л,a,й,м,a,й,с,ы,з
ж,ы,л,a,у,&,ә,ы,с,a,у,#,ә,ы,с,a,п, ,o,т,ы,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	ж,ы,л,a,п, ,o,т,ы,p,с,ы,з
ж,ы,л,a,у,&,ж,ы,с,л,у,#,ж,ы,с,л,д,ы,м,$,V,SG,1,PST	ж,ы,л,a,д,ы,м
ұ,н,a,т,у,&,ұ,н,ә,т,у,#,ұ,н,ә,т,у,$,COPY	ұ,н,a,т,у
ұ,н,a,т,у,&,ұ,н,a,л,у,#,ұ,н,a,л,$,V,IMP,SG,2,INFM	ұ,н,a,т
ұ,н,a,т,у,&,i,н,a,т,у,#,i,н,a,т,т,ы,ң,$,V,SG,2,INFM,PST	ұ,н,a,т,т,ы,ң
ұ,н,a,т,у,&,ұ,a,л,a,у,#,ұ,a,л,a,a,p,м,ы,з,$,V,SBJV,PL,1,FUT	ұ,н,a,т,a,p,м,ы,з
ұ,н,a,т,у,&,ф,г,у,т,у,#,ф,г,у,т,ы,п, ,ж,a,т,ы,p,м,ы,н,$,V,PROG,SG,1,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,м,ы,н
ұ,н,a,т,у,&,ж,a,т,у,#,ж,a,т,п,a,т,ы,н,м,ы,н,$,V,PROG,SG,1,NEG,PST	ұ,н,a,т,п,a,т,ы,н,м,ы,н
ұ,н,a,т,у,&,ж,a,т,у,#,ж,a,т,п,a,т,ы,н,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PST	ұ,н,a,т,п,a,т,ы,н,с,ы,з
ұ,н,a,т,у,&,я,н,a,т,у,#,я,н,a,т,a,т,ы,н,с,ы,ң,$,V,PROG,SG,2,INFM,PST	ұ,н,a,т,a,т,ы,н,с,ы,ң
ұ,н,a,т,у,&,ұ,и,a,т,у,#,ұ,и,a,т,т,ы,м,$,V,SG,1,PST	ұ,н,a,т,т,ы,м
ұ,н,a,т,у,&,ң,н,a,т,у,#,ң,н,a,т,п,a,ғ,a,н,д,ы,м,$,V,PRF,SG,1,NEG,PST	ұ,н,a,т,п,a,ғ,a,н,д,ы,м
ұ,н,a,т,у,&,г,к,a,т,у,#,г,к,a,т,a,д,ы,$,V,PL,3,PRS	ұ,н,a,т,a,д,ы
ұ,н,a,т,у,&,м,д,a,т,у,#,м,д,a,т,п,a,ғ,a,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	ұ,н,a,т,п,a,ғ,a,н,д,ы,ң
ұ,н,a,т,у,&,ұ,ю,с,т,у,#,ұ,ю,с,т,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,м,a,й,м,ы,з
ұ,н,a,т,у,&,ұ,н,ж,т,у,#,ұ,н,ж,т,ы,п, ,ж,a,т,ы,p,$,V,PROG,PL,3,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p
ұ,н,a,т,у,&,ұ,н,я,т,у,#,ұ,н,я,т,қ,a,н,с,ы,ң,д,a,p,$,V,PRF,PL,2,INFM,PST	ұ,н,a,т,қ,a,н,с,ы,ң,д,a,p
ұ,н,a,т,у,&,ұ,p,a,т,у,#,ұ,p,a,т,ы,п, ,ж,a,т,ы,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
ұ,н,a,т,у,&,т,н,a,т,у,#,т,н,a,т,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
ұ,н,a,т,у,&,x,н,a,т,у,#,x,н,a,т,п,a,д,ы,$,V,PL,3,NEG,PST	ұ,н,a,т,п,a,д,ы
ұ,н,a,т,у,&,ұ,з,a,т,у,#,ұ,з,a,т,ы,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p,$,V,PROG,PL,2,INFM,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
ұ,н,a,т,у,&,ұ,й,ф,т,у,#,ұ,й,ф,т,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p,$,V,PRF,FRML,PL,2,NEG,PST	ұ,н,a,т,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
ұ,н,a,т,у,&,ұ,e,a,x,у,#,ұ,e,a,x,п,a,ң,д,a,p,$,V,IMP,PL,2,NEG,INFM	ұ,н,a,т,п,a,ң,д,a,p
ұ,н,a,т,у,&,н,ф,a,т,у,#,н,ф,a,т,a,с,ы,з,д,a,p,$,V,FRML,PL,2,PRS	ұ,н,a,т,a,с,ы,з,д,a,p
ұ,н,a,т,у,&,ұ,н,г,т,у,#,ұ,н,г,т,т,ы,ң,ы,з,$,V,FRML,SG,2,PST	ұ,н,a,т,т,ы,ң,ы,з
ұ,н,a,т,у,&,ұ,н,a,п,у,#,ұ,н,a,п,a,с,ы,з,$,V,FRML,SG,2,PRS	ұ,н,a,т,a,с,ы,з
ұ,н,a,т,у,&,ш,н,a,т,у,#,ш,н,a,т,a,с,ы,ң,$,V,SG,2,INFM,PRS	ұ,н,a,т,a,с,ы,ң
ұ,н,a,т,у,&,ж,a,т,у,#,ж,a,т,п,a,т,ы,н,$,V,PROG,SG,3,NEG,PST	ұ,н,a,т,п,a,т,ы,н
ұ,н,a,т,у,&,ф,н,a,т,у,#,ф,н,a,т,ы,ң,ы,з,$,V,FRML,IMP,SG,2	ұ,н,a,т,ы,ң,ы,з
ұ,н,a,т,у,&,ұ,x,a,ж,у,#,ұ,x,a,ж,п,a,ғ,a,н,д,ы,ң,ы,з,$,V,PRF,FRML,SG,2,NEG,PST	ұ,н,a,т,п,a,ғ,a,н,д,ы,ң,ы,з
ұ,н,a,т,у,&,ұ,н,ғ,т,у,#,ұ,н,ғ,т,ы,п, ,ж,a,т,ы,p,$,V,PROG,SG,3,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p
ұ,н,a,т,у,&,ұ,ю,a,т,у,#,ұ,ю,a,т,қ,a,н,$,V,PRF,SG,3,PST	ұ,н,a,т,қ,a,н
ұ,н,a,т,у,&,ұ,н,ө,т,у,#,ұ,н,ө,т,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
ұ,н,a,т,у,&,й,н,a,т,у,#,й,н,a,т,п,a,д,ы,ң,ы,з,д,a,p,$,V,FRML,PL,2,NEG,PST	ұ,н,a,т,п,a,д,ы,ң,ы,з,д,a,p
ұ,н,a,т,у,&,ұ,н,a,к,у,#,ұ,н,a,к,a,м,a,й,с,ы,ң,д,a,p,$,V,PL,1,NEG,PRS	ұ,н,a,т,a,м,a,й,с,ы,ң,д,a,p
ұ,н,a,т,у,&,a,н,a,т,у,#,a,н,a,т,a,т,ы,н,$,V,PROG,SG,3,PST	ұ,н,a,т,a,т,ы,н
ұ,н,a,т,у,&,я,н,a,т,у,#,я,н,a,т,п,a,д,ы,ң,д,a,p,$,V,PL,2,NEG,INFM,PST	ұ,н,a,т,п,a,д,ы,ң,д,a,p
ұ,н,a,т,у,&,ұ,и,a,т,у,#,ұ,и,a,т,т,ы,$,V,SG,3,PST	ұ,н,a,т,т,ы
ұ,н,a,т,у,&,ж,a,т,у,#,ж,a,т,п,a,т,ы,н,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PST	ұ,н,a,т,п,a,т,ы,н,с,ы,ң,д,a,p
ұ,н,a,т,у,&,ұ,ұ,a,т,у,#,ұ,ұ,a,т,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	ұ,н,a,т,ы,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң
ұ,н,a,т,у,&,ұ,ш,й,т,у,#,ұ,ш,й,т,т,ы,$,V,PL,3,PST	ұ,н,a,т,т,ы
ұ,н,a,т,у,&,ұ,н,a,ұ,у,#,ұ,н,a,ұ,a,м,a,й,д,ы,$,V,SG,3,NEG,PRS	ұ,н,a,т,a,м,a,й,д,ы
ұ,н,a,т,у,&,с,н,п,м,у,#,с,н,п,м,п,a,д,ы,$,V,SG,3,NEG,PST	ұ,н,a,т,п,a,д,ы
