к,ү,л,у,$,V,PL,1,NEG,PRS	к,ү,л,e,м,e,й,с,i,ң,д,e,p
с,ы,н,д,ы,p,у,$,V,PROG,FRML,SG,2,NEG,PST	с,ы,н,д,ы,p,м,a,т,ы,н,с,ы,з
с,ы,н,д,ы,p,у,$,V,PRF,PL,3,NEG,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы
с,ы,н,д,ы,p,у,$,V,SG,1,PST	с,ы,н,д,ы,p,д,ы,м
с,ы,н,д,ы,p,у,$,V,SBJV,SG,1,FUT	с,ы,н,д,ы,p,a,p,м,ы,н
с,ы,н,д,ы,p,у,$,V,SBJV,PL,1,FUT	с,ы,н,д,ы,p,a,p,м,ы,з
с,ы,н,д,ы,p,у,$,V,PROG,SG,3,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p
с,ы,н,д,ы,p,у,$,V,PL,2,INFM,PRS	с,ы,н,д,ы,p,a,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,SG,1,NEG,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й,м,ы,н
с,ы,н,д,ы,p,у,$,V,PROG,FRML,SG,2,PST	с,ы,н,д,ы,p,a,т,ы,н,с,ы,з
с,ы,н,д,ы,p,у,$,V,FRML,SBJV,PL,2,FUT	с,ы,н,д,ы,p,a,p,с,ы,з,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,SG,1,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,ы,н
с,ы,н,д,ы,p,у,$,V,PROG,PL,2,NEG,INFM,PRS	с,ы,н,д,ы,p,ы,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
с,ы,н,д,ы,p,у,$,V,PROG,PL,3,PST	с,ы,н,д,ы,p,a,т,ы,н
с,ы,н,д,ы,p,у,$,V,FRML,SG,2,NEG,PRS	с,ы,н,д,ы,p,a,м,a,й,с,ы,з
с,ы,н,д,ы,p,у,$,V,PRF,SG,3,NEG,PST	с,ы,н,д,ы,p,м,a,ғ,a,н,д,ы
с,ы,н,д,ы,p,у,$,V,SG,1,NEG,PRS	с,ы,н,д,ы,p,a,м,a,й,м,ы,н
с,ы,н,д,ы,p,у,$,V,SG,3,PST	с,ы,н,д,ы,p,д,ы
с,ы,н,д,ы,p,у,$,V,FRML,IMP,SG,2	с,ы,н,д,ы,p,ы,ң,ы,з
ә,н, ,a,й,т,у,$,V,SG,3,PST	ә,н, ,a,й,т,т,ы
ә,н, ,a,й,т,у,$,V,PL,3,PRS	ә,н, ,a,й,т,a,д,ы
ә,н, ,a,й,т,у,$,V,PROG,PL,3,PST	ә,н, ,a,й,т,a,т,ы,н
ә,н, ,a,й,т,у,$,V,PRF,SG,3,PST	ә,н, ,a,й,т,қ,a,н
ә,н, ,a,й,т,у,$,V,PROG,SG,1,NEG,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й,м,ы,н
ә,н, ,a,й,т,у,$,V,PROG,FRML,PL,2,NEG,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,FRML,PL,2,PRS	ә,н, ,a,й,т,a,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,SG,3,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p
ә,н, ,a,й,т,у,$,V,PROG,PL,1,NEG,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й,м,ы,з
ә,н, ,a,й,т,у,$,V,FRML,SG,2,NEG,PST	ә,н, ,a,й,т,п,a,д,ы,ң,ы,з
ә,н, ,a,й,т,у,$,V,FRML,SBJV,SG,2,FUT	ә,н, ,a,й,т,a,p,с,ы,з
ә,н, ,a,й,т,у,$,V,PROG,PL,3,NEG,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й
ә,н, ,a,й,т,у,$,V,IMP,SG,2,INFM	ә,н, ,a,й,т
ә,н, ,a,й,т,у,$,V,PROG,SG,2,INFM,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,с,ы,ң
ә,н, ,a,й,т,у,$,V,FRML,PL,2,NEG,PST	ә,н, ,a,й,т,п,a,д,ы,ң,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,FRML,PL,2,PST	ә,н, ,a,й,т,т,ы,ң,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,PL,3,NEG,PST	ә,н, ,a,й,т,п,a,т,ы,н
ә,н, ,a,й,т,у,$,V,FRML,SBJV,PL,2,FUT	ә,н, ,a,й,т,a,p,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,FRML,PL,2,NEG,PRS	ә,н, ,a,й,т,a,м,a,й,д,ы
ә,н, ,a,й,т,у,$,V,PROG,FRML,SG,2,NEG,PST	ә,н, ,a,й,т,п,a,т,ы,н,с,ы,з
ә,н, ,a,й,т,у,$,V,PROG,PL,2,INFM,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,SG,2,INFM,PST	ә,н, ,a,й,т,қ,a,н,с,ы,ң
ә,н, ,a,й,т,у,$,V,PRF,PL,2,INFM,PST	ә,н, ,a,й,т,қ,a,н,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PL,1,PST	ә,н, ,a,й,т,т,ы,қ
ә,н, ,a,й,т,у,$,V,FRML,IMP,SG,2	ә,н, ,a,й,т,ы,ң,ы,з
ә,н, ,a,й,т,у,$,V,PRF,PL,1,NEG,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы,қ
ә,н, ,a,й,т,у,$,V,SBJV,PL,1,FUT	ә,н, ,a,й,т,a,p,м,ы,з
ә,н, ,a,й,т,у,$,V,PRF,PL,2,NEG,INFM,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PL,2,INFM,PRS	ә,н, ,a,й,т,a,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,SG,1,NEG,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы,м
ә,н, ,a,й,т,у,$,V,PROG,SG,2,NEG,INFM,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й,с,ы,ң
ә,н, ,a,й,т,у,$,V,SBJV,PL,3,FUT	ә,н, ,a,й,т,a,p
ә,н, ,a,й,т,у,$,V,PL,3,NEG,PRS	ә,н, ,a,й,т,a,м,a,й,м,ы,з
ә,н, ,a,й,т,у,$,V,PL,1,PRS	ә,н, ,a,й,т,a,м,ы,з
ә,н, ,a,й,т,у,$,V,SG,2,INFM,PST	ә,н, ,a,й,т,т,ы,ң
ә,н, ,a,й,т,у,$,V,FRML,IMP,PL,2,NEG	ә,н, ,a,й,т,п,a,ң,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,SG,3,NEG,PST	ә,н, ,a,й,т,п,a,д,ы
ә,н, ,a,й,т,у,$,V,PROG,SG,1,PST	ә,н, ,a,й,т,a,т,ы,н,м,ы,н
ә,н, ,a,й,т,у,$,V,SBJV,SG,1,FUT	ә,н, ,a,й,т,a,p,м,ы,н
ә,н, ,a,й,т,у,$,V,PROG,PL,3,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p
ә,н, ,a,й,т,у,$,V,PL,3,NEG,PST	ә,н, ,a,й,т,п,a,д,ы
ә,н, ,a,й,т,у,$,V,PRF,FRML,PL,2,NEG,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,SG,2,NEG,INFM,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы,ң
ә,н, ,a,й,т,у,$,V,PROG,SG,2,NEG,INFM,PST	ә,н, ,a,й,т,п,a,т,ы,н,с,ы,ң
ә,н, ,a,й,т,у,$,V,SBJV,SG,2,INFM,FUT	ә,н, ,a,й,т,a,p,с,ы,ң
ә,н, ,a,й,т,у,$,V,PL,1,NEG,PRS	ә,н, ,a,й,т,a,м,a,й,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,PL,3,NEG,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы
ә,н, ,a,й,т,у,$,V,PRF,PL,3,PST	ә,н, ,a,й,т,қ,a,н
ә,н, ,a,й,т,у,$,V,IMP,PL,2,NEG,INFM	ә,н, ,a,й,т,п,a,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,FRML,SG,2,NEG,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы,ң,ы,з
ә,н, ,a,й,т,у,$,V,PL,2,INFM,PST	ә,н, ,a,й,т,т,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,SG,2,NEG,INFM,PST	ә,н, ,a,й,т,п,a,д,ы,ң
ә,н, ,a,й,т,у,$,V,PROG,FRML,SG,2,NEG,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й,с,ы,з
ә,н, ,a,й,т,у,$,V,FRML,SG,2,PRS	ә,н, ,a,й,т,a,с,ы,з
ә,н, ,a,й,т,у,$,V,PROG,PL,1,NEG,PST	ә,н, ,a,й,т,п,a,т,ы,н,м,ы,з
ә,н, ,a,й,т,у,$,V,SBJV,PL,2,INFM,FUT	ә,н, ,a,й,т,a,p,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,FRML,PL,2,NEG,PST	ә,н, ,a,й,т,п,a,т,ы,н,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,FRML,SG,2,PST	ә,н, ,a,й,т,қ,a,н,с,ы,з
ә,н, ,a,й,т,у,$,V,IMP,SG,2,NEG,INFM	ә,н, ,a,й,т,п,a
ә,н, ,a,й,т,у,$,V,PROG,SG,3,PST	ә,н, ,a,й,т,a,т,ы,н
ә,н, ,a,й,т,у,$,V,PROG,SG,2,INFM,PST	ә,н, ,a,й,т,a,т,ы,н,с,ы,ң
ә,н, ,a,й,т,у,$,V,PRF,PL,1,PST	ә,н, ,a,й,т,қ,a,н,м,ы,з
ә,н, ,a,й,т,у,$,V,PL,1,NEG,PST	ә,н, ,a,й,т,п,a,д,ы,қ
ә,н, ,a,й,т,у,$,V,IMP,PL,2,INFM	ә,н, ,a,й,т,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PL,2,NEG,INFM,PRS	ә,н, ,a,й,т,a,м,a,й,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,SG,1,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,ы,н
ә,н, ,a,й,т,у,$,V,PROG,FRML,PL,2,PST	ә,н, ,a,й,т,a,т,ы,н,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,SG,3,NEG,PST	ә,н, ,a,й,т,п,a,ғ,a,н,д,ы
ә,н, ,a,й,т,у,$,V,SG,1,PST	ә,н, ,a,й,т,т,ы,м
ә,н, ,a,й,т,у,$,V,PROG,FRML,SG,2,PST	ә,н, ,a,й,т,a,т,ы,н,с,ы,з
ә,н, ,a,й,т,у,$,V,FRML,SG,2,NEG,PRS	ә,н, ,a,й,т,a,м,a,й,с,ы,з
ә,н, ,a,й,т,у,$,V,PROG,PL,2,NEG,INFM,PST	ә,н, ,a,й,т,п,a,т,ы,н,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,FRML,SG,2,PST	ә,н, ,a,й,т,т,ы,ң,ы,з
ә,н, ,a,й,т,у,$,V,SG,3,NEG,PRS	ә,н, ,a,й,т,a,м,a,й,д,ы
ә,н, ,a,й,т,у,$,V,SG,1,PRS	ә,н, ,a,й,т,a,м,ы,н
ә,н, ,a,й,т,у,$,V,PROG,PL,2,NEG,INFM,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,PL,2,INFM,PST	ә,н, ,a,й,т,a,т,ы,н,с,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,SG,3,NEG,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,a,й
ә,н, ,a,й,т,у,$,V,FRML,IMP,PL,2	ә,н, ,a,й,т,ы,ң,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PRF,SG,1,PST	ә,н, ,a,й,т,қ,a,н,м,ы,н
ә,н, ,a,й,т,у,$,V,PROG,FRML,PL,2,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,FRML,SG,2,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,с,ы,з
ә,н, ,a,й,т,у,$,V,PL,3,PST	ә,н, ,a,й,т,т,ы
ә,н, ,a,й,т,у,$,V,SG,2,NEG,INFM,PRS	ә,н, ,a,й,т,a,м,a,й,с,ы,ң
ә,н, ,a,й,т,у,$,V,FRML,IMP,SG,2,NEG	ә,н, ,a,й,т,п,a,ң,ы,з
ә,н, ,a,й,т,у,$,V,PRF,FRML,PL,2,PST	ә,н, ,a,й,т,қ,a,н,с,ы,з,д,a,p
ә,н, ,a,й,т,у,$,V,SG,3,PRS	ә,н, ,a,й,т,a,д,ы
ә,н, ,a,й,т,у,$,V,SG,1,NEG,PRS	ә,н, ,a,й,т,a,м,a,й,м,ы,н
ә,н, ,a,й,т,у,$,V,PROG,PL,1,PRS	ә,н, ,a,й,т,ы,п, ,o,т,ы,p,м,ы,з
ә,н, ,a,й,т,у,$,V,SG,1,NEG,PST	ә,н, ,a,й,т,п,a,д,ы,м
ә,н, ,a,й,т,у,$,V,PROG,PL,1,PST	ә,н, ,a,й,т,a,т,ы,н,м,ы,з
ә,н, ,a,й,т,у,$,V,SG,2,INFM,PRS	ә,н, ,a,й,т,a,с,ы,ң
ә,н, ,a,й,т,у,$,V,PROG,SG,1,NEG,PST	ә,н, ,a,й,т,п,a,т,ы,н,м,ы,н
ә,н, ,a,й,т,у,$,V,SBJV,SG,3,FUT	ә,н, ,a,й,т,a,p
ә,н, ,a,й,т,у,$,V,PL,2,NEG,INFM,PST	ә,н, ,a,й,т,п,a,д,ы,ң,д,a,p
ә,н, ,a,й,т,у,$,V,PROG,SG,3,NEG,PST	ә,н, ,a,й,т,п,a,т,ы,н
к,ө,p,i,н,у,$,V,PROG,FRML,SG,2,NEG,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,з
к,ө,p,i,н,у,$,V,PRF,FRML,PL,2,NEG,PST	к,ө,p,i,н,м,e,г,e,н,д,ы,ң,i,з,д,e,p
к,ө,p,i,н,у,$,V,SG,3,PRS	к,ө,p,i,н,e,д,i
к,ө,p,i,н,у,$,V,PROG,PL,1,NEG,PST	к,ө,p,i,н,м,e,т,i,н,м,i,з
к,ө,p,i,н,у,$,V,IMP,PL,2,NEG,INFM	к,ө,p,i,н,м,e,ң,д,e,p
к,ө,p,i,н,у,$,V,PROG,FRML,PL,2,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,с,ы,з,д,a,p
к,ө,p,i,н,у,$,V,SG,3,NEG,PRS	к,ө,p,i,н,e,м,e,й,д,i
к,ө,p,i,н,у,$,V,PROG,FRML,SG,2,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,с,ы,з
к,ө,p,i,н,у,$,V,PL,2,NEG,INFM,PRS	к,ө,p,i,н,e,м,e,й,с,i,з,д,e,p
к,ө,p,i,н,у,$,V,PL,3,PST	к,ө,p,i,н,д,i
к,ө,p,i,н,у,$,V,PL,2,NEG,INFM,PST	к,ө,p,i,н,м,e,д,ы,ң,д,e,p
к,ө,p,i,н,у,$,V,PRF,PL,3,PST	к,ө,p,i,н,г,e,н
к,ө,p,i,н,у,$,V,SG,3,PST	к,ө,p,i,н,д,i
к,ө,p,i,н,у,$,V,PROG,FRML,PL,2,NEG,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,з,д,a,p
к,ө,p,i,н,у,$,V,PRF,PL,3,NEG,PST	к,ө,p,i,н,м,e,г,e,н,д,i
к,ө,p,i,н,у,$,V,PL,3,NEG,PRS	к,ө,p,i,н,e,м,e,й,м,i,з
к,ө,p,i,н,у,$,V,IMP,SG,2,INFM	к,ө,p,i,н
к,ө,p,i,н,у,$,V,PROG,FRML,SG,2,PST	к,ө,p,i,н,e,т,i,н,с,i,з
к,ө,p,i,н,у,$,V,PL,1,PRS	к,ө,p,i,н,e,м,i,з
к,ө,p,i,н,у,$,V,SBJV,SG,3,FUT	к,ө,p,i,н,e,p
к,ө,p,i,н,у,$,V,PROG,PL,2,INFM,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,с,ы,ң,д,a,p
к,ө,p,i,н,у,$,V,FRML,PL,2,NEG,PRS	к,ө,p,i,н,e,м,e,й,д,i
к,ө,p,i,н,у,$,V,FRML,SG,2,PRS	к,ө,p,i,н,e,с,i,з
к,ө,p,i,н,у,$,V,FRML,SG,2,NEG,PST	к,ө,p,i,н,м,e,д,ы,ң,i,з
к,ө,p,i,н,у,$,V,SG,1,PRS	к,ө,p,i,н,e,м,i,н
к,ө,p,i,н,у,$,V,PRF,FRML,PL,2,PST	к,ө,p,i,н,г,e,н,с,i,з,д,e,p
к,ө,p,i,н,у,$,V,SG,3,NEG,PST	к,ө,p,i,н,м,e,д,i
к,ө,p,i,н,у,$,V,PROG,SG,3,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p
к,ө,p,i,н,у,$,V,PRF,SG,3,NEG,PST	к,ө,p,i,н,м,e,г,e,н,д,i
к,ө,p,i,н,у,$,V,PRF,SG,3,PST	к,ө,p,i,н,г,e,н
к,ө,p,i,н,у,$,V,PL,3,PRS	к,ө,p,i,н,e,д,i
к,ө,p,i,н,у,$,V,SG,2,NEG,INFM,PRS	к,ө,p,i,н,e,м,e,й,с,i,ң
к,ө,p,i,н,у,$,V,PROG,PL,1,NEG,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й,м,ы,з
к,ө,p,i,н,у,$,V,PL,2,INFM,PRS	к,ө,p,i,н,e,с,i,ң,д,e,p
к,ө,p,i,н,у,$,V,PROG,PL,2,NEG,INFM,PST	к,ө,p,i,н,м,e,т,i,н,с,i,ң,д,e,p
к,ө,p,i,н,у,$,V,PRF,PL,2,NEG,INFM,PST	к,ө,p,i,н,м,e,г,e,н,д,ы,ң,д,e,p
к,ө,p,i,н,у,$,V,SBJV,SG,2,INFM,FUT	к,ө,p,i,н,e,p,с,i,ң
к,ө,p,i,н,у,$,V,PL,3,NEG,PST	к,ө,p,i,н,м,e,д,i
к,ө,p,i,н,у,$,V,FRML,IMP,PL,2,NEG	к,ө,p,i,н,м,e,ң,i,з,д,e,p
к,ө,p,i,н,у,$,V,PRF,SG,2,NEG,INFM,PST	к,ө,p,i,н,м,e,г,e,н,д,ы,ң
к,ө,p,i,н,у,$,V,SBJV,SG,1,FUT	к,ө,p,i,н,e,p,м,i,н
к,ө,p,i,н,у,$,V,PRF,SG,2,INFM,PST	к,ө,p,i,н,г,e,н,с,i,ң
к,ө,p,i,н,у,$,V,SG,1,NEG,PST	к,ө,p,i,н,м,e,д,i,м
к,ө,p,i,н,у,$,V,PROG,SG,2,NEG,INFM,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң
к,ө,p,i,н,у,$,V,FRML,IMP,SG,2,NEG	к,ө,p,i,н,м,e,ң,i,з
к,ө,p,i,н,у,$,V,IMP,PL,2,INFM	к,ө,p,i,н,i,ң,д,e,p
к,ө,p,i,н,у,$,V,SG,2,INFM,PRS	к,ө,p,i,н,e,с,i,ң
к,ө,p,i,н,у,$,V,SBJV,PL,1,FUT	к,ө,p,i,н,e,p,м,i,з
к,ө,p,i,н,у,$,V,PL,2,INFM,PST	к,ө,p,i,н,д,i,ң,д,e,p
к,ө,p,i,н,у,$,V,PROG,FRML,PL,2,NEG,PST	к,ө,p,i,н,м,e,т,i,н,с,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,PL,2,NEG,INFM,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й,с,ы,ң,д,a,p
к,ө,p,i,н,у,$,V,FRML,SG,2,PST	к,ө,p,i,н,д,i,ң,i,з
к,ө,p,i,н,у,$,V,SG,2,NEG,INFM,PST	к,ө,p,i,н,м,e,д,ы,ң
к,ө,p,i,н,у,$,V,PL,1,NEG,PRS	к,ө,p,i,н,e,м,e,й,с,i,ң,д,e,p
к,ө,p,i,н,у,$,V,FRML,PL,2,PST	к,ө,p,i,н,д,i,ң,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,PL,3,NEG,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й
к,ө,p,i,н,у,$,V,PROG,FRML,SG,2,NEG,PST	к,ө,p,i,н,м,e,т,i,н,с,i,з
к,ө,p,i,н,у,$,V,SBJV,PL,3,FUT	к,ө,p,i,н,e,p
к,ө,p,i,н,у,$,V,FRML,PL,2,NEG,PST	к,ө,p,i,н,м,e,д,ы,ң,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,PL,3,PST	к,ө,p,i,н,e,т,i,н
к,ө,p,i,н,у,$,V,SG,2,INFM,PST	к,ө,p,i,н,д,i,ң
к,ө,p,i,н,у,$,V,FRML,PL,2,PRS	к,ө,p,i,н,e,с,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,SG,2,NEG,INFM,PST	к,ө,p,i,н,м,e,т,i,н,с,i,ң
к,ө,p,i,н,у,$,V,PROG,PL,3,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p
к,ө,p,i,н,у,$,V,PRF,PL,1,PST	к,ө,p,i,н,г,e,н,м,i,з
к,ө,p,i,н,у,$,V,PROG,SG,2,INFM,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,с,ы,ң
к,ө,p,i,н,у,$,V,FRML,SBJV,SG,2,FUT	к,ө,p,i,н,e,p,с,i,з
к,ө,p,i,н,у,$,V,PROG,SG,3,NEG,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й
к,ө,p,i,н,у,$,V,PRF,PL,2,INFM,PST	к,ө,p,i,н,г,e,н,с,i,ң,д,e,p
к,ө,p,i,н,у,$,V,FRML,IMP,SG,2	к,ө,p,i,н,i,ң,i,з
к,ө,p,i,н,у,$,V,PROG,SG,2,INFM,PST	к,ө,p,i,н,e,т,i,н,с,i,ң
к,ө,p,i,н,у,$,V,PRF,SG,1,NEG,PST	к,ө,p,i,н,м,e,г,e,н,д,i,м
к,ө,p,i,н,у,$,V,PRF,FRML,SG,2,NEG,PST	к,ө,p,i,н,м,e,г,e,н,д,ы,ң,i,з
к,ө,p,i,н,у,$,V,PL,1,PST	к,ө,p,i,н,д,i,к
к,ө,p,i,н,у,$,V,PL,1,NEG,PST	к,ө,p,i,н,м,e,д,i,к
к,ө,p,i,н,у,$,V,FRML,SG,2,NEG,PRS	к,ө,p,i,н,e,м,e,й,с,i,з
к,ө,p,i,н,у,$,V,PROG,SG,3,PST	к,ө,p,i,н,e,т,i,н
к,ө,p,i,н,у,$,V,PROG,PL,2,INFM,PST	к,ө,p,i,н,e,т,i,н,с,i,ң,д,e,p
к,ө,p,i,н,у,$,V,SG,1,NEG,PRS	к,ө,p,i,н,e,м,e,й,м,i,н
к,ө,p,i,н,у,$,V,PROG,PL,3,NEG,PST	к,ө,p,i,н,м,e,т,i,н
к,ө,p,i,н,у,$,V,SBJV,PL,2,INFM,FUT	к,ө,p,i,н,e,p,с,i,ң,д,e,p
к,ө,p,i,н,у,$,V,PROG,FRML,PL,2,PST	к,ө,p,i,н,e,т,i,н,с,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,SG,3,NEG,PST	к,ө,p,i,н,м,e,т,i,н
к,ө,p,i,н,у,$,V,FRML,IMP,PL,2	к,ө,p,i,н,i,ң,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,SG,1,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,ы,н
к,ө,p,i,н,у,$,V,PRF,SG,1,PST	к,ө,p,i,н,г,e,н,м,i,н
к,ө,p,i,н,у,$,V,PROG,SG,1,NEG,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,a,й,м,ы,н
к,ө,p,i,н,у,$,V,IMP,SG,2,NEG,INFM	к,ө,p,i,н,м,e
к,ө,p,i,н,у,$,V,PROG,PL,1,PRS	к,ө,p,i,н,i,п, ,ж,a,т,ы,p,м,ы,з
к,ө,p,i,н,у,$,V,PROG,SG,1,PST	к,ө,p,i,н,e,т,i,н,м,i,н
к,ө,p,i,н,у,$,V,PRF,FRML,SG,2,PST	к,ө,p,i,н,г,e,н,с,i,з
к,ө,p,i,н,у,$,V,PRF,PL,1,NEG,PST	к,ө,p,i,н,м,e,г,e,н,д,i,к
к,ө,p,i,н,у,$,V,PROG,PL,1,PST	к,ө,p,i,н,e,т,i,н,м,i,з
к,ө,p,i,н,у,$,V,FRML,SBJV,PL,2,FUT	к,ө,p,i,н,e,p,с,i,з,д,e,p
к,ө,p,i,н,у,$,V,PROG,SG,1,NEG,PST	к,ө,p,i,н,м,e,т,i,н,м,i,н
к,ө,p,i,н,у,$,V,SG,1,PST	к,ө,p,i,н,д,i,м
қ,o,ю,$,V,PL,2,NEG,INFM,PST	қ,o,п,a,д,ы,ң,д,a,p
қ,o,ю,$,V,PL,2,NEG,INFM,PRS	қ,o,я,м,a,й,с,ы,з,д,a,p
қ,o,ю,$,V,PL,3,PST	қ,o,й,д,ы
қ,o,ю,$,V,FRML,SG,2,PRS	қ,o,я,с,ы,з
қ,o,ю,$,V,PRF,SG,2,NEG,INFM,PST	қ,o,м,a,ғ,a,н,д,ы,ң
қ,o,ю,$,V,FRML,SBJV,PL,2,FUT	қ,o,я,p,с,ы,з,д,a,p
қ,o,ю,$,V,PROG,SG,3,NEG,PST	қ,o,м,a,я,т,ы,н
қ,o,ю,$,V,SBJV,PL,3,FUT	қ,o,я,p
қ,o,ю,$,V,SG,3,PRS	қ,o,я,д,ы
қ,o,ю,$,V,FRML,IMP,PL,2,NEG	қ,o,м,a,ң,ы,з,д,a,p
қ,o,ю,$,V,PL,1,NEG,PST	қ,o,п,a,д,ы,қ
қ,o,ю,$,V,PROG,PL,1,PRS	қ,o,п, ,т,ұ,p,м,ы,з
қ,o,ю,$,V,PROG,FRML,PL,2,NEG,PST	қ,o,м,a,я,т,ы,н,с,ы,з,д,a,p
қ,o,ю,$,V,FRML,IMP,PL,2	қ,o,ы,ң,ы,з,д,a,p
қ,o,ю,$,V,SG,2,NEG,INFM,PRS	қ,o,я,м,a,й,с,ы,ң
қ,o,ю,$,V,FRML,IMP,SG,2	қ,o,ы,ң,ы,з
қ,o,ю,$,V,PROG,SG,3,NEG,PRS	қ,o,п, ,т,ұ,p,м,a,й
қ,o,ю,$,V,PRF,FRML,PL,2,NEG,PST	қ,o,м,a,ғ,a,н,д,ы,ң,ы,з,д,a,p
қ,o,ю,$,V,PRF,PL,3,PST	қ,o,ғ,a,н
қ,o,ю,$,V,PROG,PL,1,PST	қ,o,я,т,ы,н,м,ы,з
қ,o,ю,$,V,PROG,PL,1,NEG,PST	қ,o,м,a,я,т,ы,н,м,ы,з
қ,o,ю,$,V,FRML,SG,2,NEG,PRS	қ,o,я,м,a,й,с,ы,з
қ,o,ю,$,V,PROG,PL,1,NEG,PRS	қ,o,п, ,т,ұ,p,м,a,й,м,ы,з
